Predicate; Input; Output
IsNotNaN; [-0.19614281793877142, -0.5603964478425254, NaN, -0.6707390031286913, NaN, -0.031286786831791424, 0.22243270127163783, NaN, -0.2603952559694864, 0.6255580773632758]; [-0.19614281793877142, -0.5603964478425254, -0.6707390031286913, -0.031286786831791424, 0.22243270127163783, -0.2603952559694864, 0.6255580773632758]
IsNotNaN; [0.8738233084091795, -0.9796675938674986, NaN, -0.1547946227898862, -0.6662869063738821, NaN, NaN, -0.5639579561107368, -0.24229651021458065, 0.9430923823082753]; [0.8738233084091795, -0.9796675938674986, -0.1547946227898862, -0.6662869063738821, -0.5639579561107368, -0.24229651021458065, 0.9430923823082753]
IsPositive; [0.11796349978422627, -0.9904537439956664, 0.3170855258749201, 0.7040319121602163, 0.06375078126481615, 0.8135569438762698, -0.26316284683679103, -0.5588026719171939, 0.8162021244557107, -0.023818021044481164]; [0.11796349978422627, 0.3170855258749201, 0.7040319121602163, 0.06375078126481615, 0.8135569438762698, 0.8162021244557107]
DivisibleByTwo; [-0.81395320088842, 0.4302535037463324, -0.999484918395199, 0.06787695635324731, -0.9071541887369836, 0.5427592491932756, 0.13917036845587138, -0.8978831169687598, 0.809448637617487, 0.4523339644550708]; []
DivisibleByTwo; [-0.03917141161601245, 0.6204738472877835, 0.21891333888259656, -0.47281082524842355, 0.8722921447410243, 0.3458039131593946, 0.3537528085638537, -0.6961380233602539, -0.6673934838582889, -0.9623619172164024]; []
IsPositive; [0.887541498153481, -0.5063732145304569, 0.8156418604655369, 0.6467619223806367, -0.03582238058866172, -0.1577966134966604, -0.19273956710093176, -0.35864126250218487, 0.24547836303386195, -0.15498012319555676]; [0.887541498153481, 0.8156418604655369, 0.6467619223806367, 0.24547836303386195]
DivisibleByTwo; [0.8554413958962663, 0.4649837688561158, 0.28629868893583366, 0.3144286126986737, -0.9234993448341542, -0.5129753612102081, 0.3873820658545102, 0.1019156821666305, 0.7178080346000906, -0.4808034785206723]; []
IsPositive; [0.9296662098060962, -0.10251667476356197, 0.3871705336826652, 0.9970094031800953, 0.8597821471733387, 0.9600265060143554, -0.618684178262122, 0.26303652380294573, 0.475001464531271, -0.12333512194632279]; [0.9296662098060962, 0.3871705336826652, 0.9970094031800953, 0.8597821471733387, 0.9600265060143554, 0.26303652380294573, 0.475001464531271]
IsPositive; [-0.819324561717464, 0.03920264171864152, -0.05309836789017153, -0.9943676076677881, -0.3750669268325906, 0.13820255027923634, -0.8734651723948439, 0.12646677742967194, 0.5435691981019386, -0.2604499644559217]; [0.03920264171864152, 0.13820255027923634, 0.12646677742967194, 0.5435691981019386]
DivisibleByTwo; [-0.9100981091024896, 0.0028829653938318156, 0.687898109857253, 0.1436484485192553, -0.3889521184451943, -0.9421463751016594, 0.6958601647756946, 0.81766466254154, -0.708887561749757, 0.1670616302413026]; []
IsPositive; [-0.48190368715687315, -0.24012127491315338, 0.4251821330400558, -0.30397015497578583, 0.24359934192135957, -0.26542773852029455, 0.8548092939024021, -0.6621262815610462, -0.41449988870724175, 0.7674090198756052]; [0.4251821330400558, 0.24359934192135957, 0.8548092939024021, 0.7674090198756052]
DivisibleByTwo; [0.032576792798803655, -0.9472366597099129, -0.5776864020864128, 0.44165238240060867, 0.3161030009362795, 0.46682175163282835, 0.7372356396607036, 0.9984538686023803, -0.8876015814909959, 0.4573276963877857]; []
DivisibleByTwo; [0.05784567509730043, 0.01983880999771026, 0.9094999093556477, 0.3327302578396738, 0.07083730397010846, -0.4390949455288511, 0.46082424361228513, -0.9898747724504338, -0.5288357938447881, 0.9981411640521958]; []
IsNotNaN; [-0.5713012397080608, 0.8994822252119983, 0.30225356106919965, -0.4263379008253503, 0.6470423338968543, 0.823052711973399, NaN, -0.359450173133371, 0.8291849713079411, -0.7699698800586521]; [-0.5713012397080608, 0.8994822252119983, 0.30225356106919965, -0.4263379008253503, 0.6470423338968543, 0.823052711973399, -0.359450173133371, 0.8291849713079411, -0.7699698800586521]
IsPositive; [0.6051661790796048, 0.9523777025492859, 0.025330946227559936, -0.7893269244448646, 0.7398129137863216, -0.009612214402857866, 0.4251852989353888, 0.37074392557538216, -0.6018145366795662, 0.2846810966610007]; [0.6051661790796048, 0.9523777025492859, 0.025330946227559936, 0.7398129137863216, 0.4251852989353888, 0.37074392557538216, 0.2846810966610007]
IsPositive; [0.20477926264530355, -0.5037446640831953, -0.8971741858948921, -0.038828982117349975, 0.03254574084735218, 0.12015825124239088, -0.9435160605573714, -0.6660587257285533, 0.578212365961986, 0.5967449175546293]; [0.20477926264530355, 0.03254574084735218, 0.12015825124239088, 0.578212365961986, 0.5967449175546293]
DivisibleByTwo; [-0.6986014154974962, 0.263040010294467, 0.9090939679938079, -0.9038182143773057, -0.9755691560529303, 0.2106325061191887, 0.011882764183632988, 0.05072738025290313, -0.3974057198440806, -0.5461747251988038]; []
IsPositive; [0.8440505051069629, 0.015830861038510946, 0.30579055457087456, -0.2496345966337148, 0.2974911361727903, -0.3465522539068753, -0.29167431340364325, 0.9038090802432388, -0.7519501842057337, 0.6015500021703788]; [0.8440505051069629, 0.015830861038510946, 0.30579055457087456, 0.2974911361727903, 0.9038090802432388, 0.6015500021703788]
IsNotNaN; [0.8080464613491876, 0.1376448816625413, 0.46809841216773496, -0.6370521437430734, 0.6117037391123941, -0.03675401911026954, 0.5953340354107233, -0.9718180162690626, -0.48258630604103625, -0.6855810760722871]; [0.8080464613491876, 0.1376448816625413, 0.46809841216773496, -0.6370521437430734, 0.6117037391123941, -0.03675401911026954, 0.5953340354107233, -0.9718180162690626, -0.48258630604103625, -0.6855810760722871]
IsPositive; [-0.42050776590137406, -0.3586153864955588, 0.20985484010333533, 0.12170455278734749, -0.930317391007828, -0.6753503393434532, -0.01889742131892902, -0.7875208742250774, 0.0585698944169768, 0.8955912286022618]; [0.20985484010333533, 0.12170455278734749, 0.0585698944169768, 0.8955912286022618]
DivisibleByTwo; [0.3997711270126665, -0.5517068565087939, -0.23436074876220903, 0.6444122888626465, 0.07339574884889499, 0.3487768759720844, 0.2203003364425784, -0.819055896934779, -0.1162446928668861, -0.8981683564440492]; []
DivisibleByTwo; [0.296599679538595, 0.8187588534430708, -0.4778988453511972, -0.1772833523970816, -0.9451721337127807, -0.16740183315927926, -0.5889778401376646, 0.20003215988305478, -0.8386782096400729, -0.8929993991814182]; []
IsNotNaN; [-0.8280564465860589, 0.2544896115744162, 0.8862798762372643, -0.8118475758686736, 0.6820207515898089, NaN, -0.2795783147287767, -0.4423743953607784, 0.46145700939878687, -0.29649034092004456]; [-0.8280564465860589, 0.2544896115744162, 0.8862798762372643, -0.8118475758686736, 0.6820207515898089, -0.2795783147287767, -0.4423743953607784, 0.46145700939878687, -0.29649034092004456]
DivisibleByTwo; [0.004841214753284584, -0.9341909822773229, 0.6420377501604151, -0.46362527530659703, -0.8655830959933355, 0.8944777556608396, 0.08994073085618726, -0.8939854470734026, -0.12634230331610885, -0.8379120922608643]; []
IsNotNaN; [-0.6093532963408586, -0.0655984423887197, 0.11488073278599953, -0.6579772777216633, -0.6489587944620205, 0.2708943986438972, NaN, -0.9668405529858966, 0.4335632383287331, -0.026717301561624662]; [-0.6093532963408586, -0.0655984423887197, 0.11488073278599953, -0.6579772777216633, -0.6489587944620205, 0.2708943986438972, -0.9668405529858966, 0.4335632383287331, -0.026717301561624662]
IsNotNaN; [-0.15973127823827005, -0.6962368919767963, 0.10952232169100018, NaN, 0.15716786983160835, -0.17614190361316284, 0.5034711446728457, -0.5974154777353282, NaN, -0.6921342747630674]; [-0.15973127823827005, -0.6962368919767963, 0.10952232169100018, 0.15716786983160835, -0.17614190361316284, 0.5034711446728457, -0.5974154777353282, -0.6921342747630674]
DivisibleByTwo; [-0.10221301298746654, 0.18166631397263888, -0.19605380959544294, 0.408438772351152, 0.6763798877018081, -0.1274659717903428, -0.4657776816756034, -0.8659367142663221, -0.8912881120664726, 0.9674940715474192]; []
DivisibleByTwo; [-0.2722406195482798, -0.8928606763124138, -0.9899228158297908, 0.4100114713948797, -0.726777911375551, 0.5358928465184618, -0.23864170925398032, -0.8801817084775294, 0.5885031876108782, 0.642610853021828]; []
DivisibleByTwo; [-0.5687610439984045, -0.43394872814472363, -0.09262205861416573, 0.4723338329149469, -0.18387862369071306, 0.02055952823954388, 0.21936609396147877, 0.5002787987956951, 0.09775852951131303, -0.9760859418664531]; []
IsPositive; [-0.9401158225273714, 0.26290781325628876, -0.48411942228251426, 0.8095410537006942, -0.2987134907509734, -0.6433027464473084, 0.9628584178029036, -0.04320696142200786, -0.5385919288272882, 0.5803029816035479]; [0.26290781325628876, 0.8095410537006942, 0.9628584178029036, 0.5803029816035479]
IsNotNaN; [0.7297132487505285, -0.6183400437847308, 0.8247391723102271, NaN, 0.7675470178850812, -0.07578388732453889, NaN, 0.6945850011045336, NaN, 0.25478624521314064]; [0.7297132487505285, -0.6183400437847308, 0.8247391723102271, 0.7675470178850812, -0.07578388732453889, 0.6945850011045336, 0.25478624521314064]
IsPositive; [0.04041278490946376, -0.4137769165680565, 0.1879819058558112, 0.5962072879688458, -0.0775633588942024, 0.8830581032307097, 0.6996252229050739, 0.8474517433595732, 0.5003422507522777, -0.1435754155652329]; [0.04041278490946376, 0.1879819058558112, 0.5962072879688458, 0.8830581032307097, 0.6996252229050739, 0.8474517433595732, 0.5003422507522777]
DivisibleByTwo; [0.36430344750850985, -0.9057312000103837, -0.07135124347566357, -0.5801628730704418, 0.4854115597310993, 0.2053916572436194, 0.2910570223457831, -0.1227745615369149, 0.5375003033987524, 0.2382476348652829]; []
DivisibleByTwo; [0.693981090125811, 0.05919476545906299, 0.17505739914021845, 0.7160011889207232, -0.5396911162317894, 0.5702727427778329, -0.9791300652210968, -0.5118521628688895, -0.5123378613788621, 0.42674531588931774]; []
DivisibleByTwo; [0.3734329807987149, -0.15023041215689759, 0.9389413127674384, 0.23382407122012516, 0.232635912956473, 0.8699519298769529, 0.34895669534356344, 0.2325279622415386, 0.11522211676840266, -0.532245920035606]; []
DivisibleByTwo; [0.9594626028612925, 0.04080418918816764, -0.9837145485919987, 0.674513381101489, -0.36407276132543376, 0.7200519154296117, 0.5703302553086538, 0.7341569527206506, -0.9271138445418212, 0.9173545737263951]; []
IsNotNaN; [NaN, NaN, NaN, -0.7346338421476091, NaN, -0.8269330339245369, 0.36539933290928195, 0.9659384306957002, 0.04806378157878233, -0.5429676064575595]; [-0.7346338421476091, -0.8269330339245369, 0.36539933290928195, 0.9659384306957002, 0.04806378157878233, -0.5429676064575595]
DivisibleByTwo; [-0.2368989748397312, -0.45978434613412045, 0.3906887835582691, 0.9084286216510418, 0.976424237807415, -0.9029355551139964, -0.9481534864968333, -0.2646664793353066, 0.6733152113599294, 0.1533476531520237]; []
DivisibleByTwo; [0.8907947812372776, -0.37369830307058916, 0.5196325097983252, -0.9663094605702813, -0.5814664436017676, 0.4713634971640044, 0.5166476269783769, -0.8159707819436521, -0.7207460768254546, 0.29847268409807426]; []
IsNotNaN; [NaN, 0.35237125290638627, NaN, NaN, 0.31043233209827537, 0.5218396168123274, -0.30988960943508626, 0.20648207534391294, 0.38780058641455883, -0.2747893189507109]; [0.35237125290638627, 0.31043233209827537, 0.5218396168123274, -0.30988960943508626, 0.20648207534391294, 0.38780058641455883, -0.2747893189507109]
DivisibleByTwo; [0.13524127461691338, -0.24129563138922605, -0.6944382966415477, 0.42679947368394555, 0.9210991887592581, 0.30512843381509325, -0.72690829055163, 0.026683444054913297, 0.8029518287550335, -0.06423668718807307]; []
DivisibleByTwo; [-0.9761047341904718, -0.7761006506311472, 0.3523108951238578, 0.4645131175489434, -0.0010629388961311825, -0.5306136434370432, -0.07458324172763353, 0.3159016528649341, -0.6568460772746314, -0.45390977616113704]; []
IsPositive; [-0.4841424243633281, 0.629687027719251, 0.5782461677384292, -0.56721645557018, -0.28913413439728797, 0.6666790427108014, -0.019138165176348032, -0.960201638754892, 0.293102317251559, 0.43696278656493903]; [0.629687027719251, 0.5782461677384292, 0.6666790427108014, 0.293102317251559, 0.43696278656493903]
DivisibleByTwo; [0.673802924291679, 0.14900677639244764, 0.16450058132035328, 0.622123086261748, -0.7711009577355563, -0.05297274741799263, -0.7839854377088558, 0.32595426769654234, -0.8162909503398563, -0.09022578331855091]; []
IsPositive; [-0.473127030430746, -0.03646898316950509, 0.29022652953710115, 0.47810874320833574, -0.15078623359483379, -0.31359381621213767, -0.4577182532198141, -0.041510052174345446, -0.2812651131357504, -0.8579073225163174]; [0.29022652953710115, 0.47810874320833574]
IsPositive; [0.06934681170324652, -0.6108338249699952, -0.2707355544764727, 0.07887626529683156, 0.8379678449495569, -0.2684137074846975, 0.5189192011281658, -0.6676023622880387, -0.2319375277369733, -0.32164800683045436]; [0.06934681170324652, 0.07887626529683156, 0.8379678449495569, 0.5189192011281658]
IsNotNaN; [0.8377843733816566, 0.06833236269393783, -0.6501628435966997, -0.38682774765851, 0.7018157899420847, -0.1941120816469526, -0.8619051778584377, -0.1850776957998015, -0.9150712582723362, 0.7097272889642987]; [0.8377843733816566, 0.06833236269393783, -0.6501628435966997, -0.38682774765851, 0.7018157899420847, -0.1941120816469526, -0.8619051778584377, -0.1850776957998015, -0.9150712582723362, 0.7097272889642987]
IsPositive; [-0.39578260081986794, 0.8670497197500524, 0.8610047166110149, 0.913320337352018, 0.742125721010418, -0.5847893579454924, 0.7798130729690231, -0.7753864886556787, 0.5530330159636798, 0.9101605575100888]; [0.8670497197500524, 0.8610047166110149, 0.913320337352018, 0.742125721010418, 0.7798130729690231, 0.5530330159636798, 0.9101605575100888]
DivisibleByTwo; [-0.8543908906929114, -0.5347004242338853, -0.9251756122857131, 0.7795637714120265, 0.5644368778043958, 0.9078603749485874, 0.9754110008939312, 0.5915268129829041, -0.3640697537993296, -0.20005505158179804]; []
IsPositive; [-0.1045776844764732, 0.20430200819345545, -0.2123291673028327, -0.19646333239752778, 0.7041156020972763, 0.6407466399509456, -0.4150722556294695, 0.32675410947220107, -0.3766015084882284, -0.5172337537841156]; [0.20430200819345545, 0.7041156020972763, 0.6407466399509456, 0.32675410947220107]
IsNotNaN; [0.7958699614746323, NaN, 0.7783744307852047, 0.9501081505890201, 0.25210623781637853, -0.1642750959035335, -0.8511625453660319, NaN, -0.8833246872126632, -0.5936019584299594]; [0.7958699614746323, 0.7783744307852047, 0.9501081505890201, 0.25210623781637853, -0.1642750959035335, -0.8511625453660319, -0.8833246872126632, -0.5936019584299594]
IsPositive; [0.12465899205945719, 0.854384291878012, 0.5563725003473536, 0.36079873059887335, 0.909022645123805, 0.4017309396806892, 0.01256654320670525, -0.9197813107115349, 0.8669817957446606, -0.9276293438809959]; [0.12465899205945719, 0.854384291878012, 0.5563725003473536, 0.36079873059887335, 0.909022645123805, 0.4017309396806892, 0.01256654320670525, 0.8669817957446606]
IsPositive; [-0.7255756460337139, -0.11331222841100375, 0.5828276244893622, -0.9480925673500458, 0.38072812121288147, 0.26065978132848855, 0.8682723620316724, 0.47422894731898646, 0.011234498959457051, 0.6881484303710252]; [0.5828276244893622, 0.38072812121288147, 0.26065978132848855, 0.8682723620316724, 0.47422894731898646, 0.011234498959457051, 0.6881484303710252]
IsPositive; [-0.7455321875589522, -0.4741353457562354, -0.5242087808757974, 0.5311728929014097, 0.6043948017933025, -0.6613013163416837, -0.33080839531052475, -0.40923644535978276, 0.3981747388853629, 0.22017074637224354]; [0.5311728929014097, 0.6043948017933025, 0.3981747388853629, 0.22017074637224354]
DivisibleByTwo; [0.4320144701562312, -0.38033104153096375, -0.027629983487462484, -0.7357604253109511, -0.3575391712744824, 0.9422960072039466, 0.5353561576731363, 0.19302243146601095, -0.938534536053329, 0.5523055311659006]; []
DivisibleByTwo; [-0.8656363073323425, 0.39816701936384713, -0.5368729877206173, -0.4163239981126201, 0.915803319881195, -0.4173493828040509, 0.9047655169841591, -0.11106037722288686, -9.95925712477419E-4, -0.8521566427403084]; []
IsNotNaN; [NaN, -0.3913154591725789, 0.07450927485675174, -0.4726872172087979, 0.010961066492216842, 0.07930795756130316, -0.5584089389495508, 0.03798700617171025, 0.8164204650618905, -0.7986038687258274]; [-0.3913154591725789, 0.07450927485675174, -0.4726872172087979, 0.010961066492216842, 0.07930795756130316, -0.5584089389495508, 0.03798700617171025, 0.8164204650618905, -0.7986038687258274]
DivisibleByTwo; [-0.3843403690860683, 0.5009349395071161, -0.5769171616016344, -0.5210030425041592, -0.13524068076106843, -0.12183730041336172, -0.7256969470158476, 0.3404420899234353, 0.07535870513855647, 0.47846536919895244]; []
IsPositive; [-0.15404369814754326, 0.06426570784410068, -0.7988417804776704, 0.9045145250775504, 0.5098546095942846, 0.6591583430563941, 0.21465370118467075, 0.8450026802333395, -0.5271742022793946, -0.6152162115117117]; [0.06426570784410068, 0.9045145250775504, 0.5098546095942846, 0.6591583430563941, 0.21465370118467075, 0.8450026802333395]
DivisibleByTwo; [0.9597107375368106, 0.05980481321660269, -0.891344901378252, -0.7493209545888291, -0.405580885637971, 0.46276108504787716, 0.4473541398852401, -0.2066535400316296, -0.5829860624804231, 0.07582109958807126]; []
IsNotNaN; [0.8459886338956624, 0.7070390766962036, 0.7836638091829309, 0.80993488724789, NaN, 0.4916301178507496, NaN, NaN, NaN, 0.18134809467580215]; [0.8459886338956624, 0.7070390766962036, 0.7836638091829309, 0.80993488724789, 0.4916301178507496, 0.18134809467580215]
IsNotNaN; [NaN, -0.3944751111643512, 0.29826336919365626, 0.4310503702567745, NaN, -0.5141731730572454, -0.03559488109947351, 0.7620979371391403, -0.09639691737743683, 0.8341891375947343]; [-0.3944751111643512, 0.29826336919365626, 0.4310503702567745, -0.5141731730572454, -0.03559488109947351, 0.7620979371391403, -0.09639691737743683, 0.8341891375947343]
IsPositive; [-0.7014242233589605, 0.6077847730062165, 0.5021359754169077, -0.9554152681638497, 0.7638671800529298, 0.9486666030259958, -0.7130764969642376, -0.41481914066469083, -0.10895815317021729, 0.7910233967696705]; [0.6077847730062165, 0.5021359754169077, 0.7638671800529298, 0.9486666030259958, 0.7910233967696705]
IsNotNaN; [NaN, 0.19999661132073365, 0.5710188405484751, NaN, -0.13945072722837737, 0.619435503284655, -0.5010498275199999, 0.2235095140047476, -0.7852962805659514, -0.5676582629891445]; [0.19999661132073365, 0.5710188405484751, -0.13945072722837737, 0.619435503284655, -0.5010498275199999, 0.2235095140047476, -0.7852962805659514, -0.5676582629891445]
IsNotNaN; [0.07927477418664908, -0.43489860252104173, -0.862054193399608, NaN, -0.7015972173059959, NaN, NaN, -0.457401865589109, 0.08144858049243364, 0.02568791174244911]; [0.07927477418664908, -0.43489860252104173, -0.862054193399608, -0.7015972173059959, -0.457401865589109, 0.08144858049243364, 0.02568791174244911]
IsNotNaN; [-0.12006362302714746, 0.2519557184936827, 0.47169696498833114, -0.003264088044875768, 0.948007993809004, -0.054823485624596824, -0.3937481461980341, -0.5620839130165216, -0.4192805072588339, -0.1903700373883941]; [-0.12006362302714746, 0.2519557184936827, 0.47169696498833114, -0.003264088044875768, 0.948007993809004, -0.054823485624596824, -0.3937481461980341, -0.5620839130165216, -0.4192805072588339, -0.1903700373883941]
IsNotNaN; [0.9085828814381727, 0.38890354605925115, -0.5307218775507136, 0.0755228001415651, -0.8215489039407609, -0.73560113953027, 0.3998090481279357, 0.42560460939068867, 0.3319598879012382, 0.9652846260587598]; [0.9085828814381727, 0.38890354605925115, -0.5307218775507136, 0.0755228001415651, -0.8215489039407609, -0.73560113953027, 0.3998090481279357, 0.42560460939068867, 0.3319598879012382, 0.9652846260587598]
IsPositive; [0.36112526123114796, 0.07665088392026775, 0.4292439555046912, 0.5442810233890933, 0.39145957535315934, -0.8048614187996259, 0.32457351906433973, 0.6090222978815547, -0.3477433346587391, -0.5713310467847164]; [0.36112526123114796, 0.07665088392026775, 0.4292439555046912, 0.5442810233890933, 0.39145957535315934, 0.32457351906433973, 0.6090222978815547]
IsPositive; [-0.21658222899678137, 0.17086717316970934, -0.6168603429649344, 0.7663338014952961, 0.23327624199481822, 0.48564694513541373, 0.3706799495206736, 0.6853612145720107, 0.4498530217795471, -0.417054290553716]; [0.17086717316970934, 0.7663338014952961, 0.23327624199481822, 0.48564694513541373, 0.3706799495206736, 0.6853612145720107, 0.4498530217795471]
DivisibleByTwo; [-0.6453844811498757, -0.40198176659643203, 0.42741404524822957, -0.35660313157582624, -0.6013216644725994, -0.01811216661547488, -0.558066365871621, 0.15887220080353393, -0.3307924841584866, -0.7417215354746662]; []
IsPositive; [0.8879014744760949, 0.8983292343906402, -0.7067607860370742, 0.4776655880147185, 0.8544275644311128, 0.10247348992492489, 0.008781994797330661, 0.17770395249044935, -0.3964522074672623, -0.9567165891022593]; [0.8879014744760949, 0.8983292343906402, 0.4776655880147185, 0.8544275644311128, 0.10247348992492489, 0.008781994797330661, 0.17770395249044935]
IsNotNaN; [-0.8265003907048754, -0.6015083454791013, NaN, 0.10983573016711845, 0.3640409331634491, -0.22859399305093864, -0.24880352730633848, -0.08024047253424804, -0.723229256348465, -0.1580268158375966]; [-0.8265003907048754, -0.6015083454791013, 0.10983573016711845, 0.3640409331634491, -0.22859399305093864, -0.24880352730633848, -0.08024047253424804, -0.723229256348465, -0.1580268158375966]
IsNotNaN; [NaN, -0.3939609824106902, -0.06832802897724521, -0.6561265711711444, -0.8637593417189922, -0.6082257865356575, NaN, -0.989675342156072, -0.565286676893102, NaN]; [-0.3939609824106902, -0.06832802897724521, -0.6561265711711444, -0.8637593417189922, -0.6082257865356575, -0.989675342156072, -0.565286676893102]
IsNotNaN; [-0.7300786292838857, NaN, -0.12992280036009962, -0.23924309547977152, -0.9788374759444196, -0.9654035007700172, -0.8114199756475804, 0.632788210907689, NaN, -0.1885602701821314]; [-0.7300786292838857, -0.12992280036009962, -0.23924309547977152, -0.9788374759444196, -0.9654035007700172, -0.8114199756475804, 0.632788210907689, -0.1885602701821314]
IsPositive; [0.7610617676507636, -0.3394519413084256, 0.6233552220967655, -0.9456038292660351, 0.248022252971984, 0.049570710573929144, -0.6460493597724961, -0.35292793490686303, -0.6044729860285107, -0.028437014205681344]; [0.7610617676507636, 0.6233552220967655, 0.248022252971984, 0.049570710573929144]
IsPositive; [-0.21219441600908984, -0.28283430395174824, 0.9197762327557566, 0.8157603905719342, -0.42665810935315673, 0.25710648361532096, -0.6145727244276571, 0.7931830635652357, 0.19270777756457802, -0.23892344970225943]; [0.9197762327557566, 0.8157603905719342, 0.25710648361532096, 0.7931830635652357, 0.19270777756457802]
IsPositive; [0.7425262940522801, -0.26508285390387365, 0.2556800826531125, -0.6505777288713543, 0.7591712722168382, -0.986563431168046, -0.3017612117775428, 0.8456058763844023, -0.028207234778596213, 0.9163732951819055]; [0.7425262940522801, 0.2556800826531125, 0.7591712722168382, 0.8456058763844023, 0.9163732951819055]
DivisibleByTwo; [0.7547725091309396, 0.5774856607705856, -0.0277938992636233, 0.5150326408105976, -0.5736136541581165, -0.7061445694587294, 0.8603525175756177, 0.0953416999698613, -0.16619756995368018, -0.48118587463489626]; []
IsNotNaN; [0.5139145260948466, -0.4431900956532995, NaN, -0.08932351449346254, 0.9607538695080573, -0.16452945603915214, 0.47361167572785745, NaN, NaN, 0.36966295729567333]; [0.5139145260948466, -0.4431900956532995, -0.08932351449346254, 0.9607538695080573, -0.16452945603915214, 0.47361167572785745, 0.36966295729567333]
IsNotNaN; [-0.7043771654259141, -0.459337354320861, NaN, -0.09709318910708253, 0.7519064543925449, -0.07620192581977503, NaN, 0.5060083541665994, -0.44732117296242, 0.5300734599397943]; [-0.7043771654259141, -0.459337354320861, -0.09709318910708253, 0.7519064543925449, -0.07620192581977503, 0.5060083541665994, -0.44732117296242, 0.5300734599397943]
IsPositive; [-0.21161513907372775, -0.39906885582953544, -0.35505160069747266, -0.7119866595446167, -0.3881833026163293, -0.018146247838360496, 0.20555823574787735, 0.756751278237203, 0.18277990721633586, -0.6457736142036807]; [0.20555823574787735, 0.756751278237203, 0.18277990721633586]
DivisibleByTwo; [-0.8967064459590197, -0.48253727118561107, -0.29302653613832086, 0.7505317176243671, 0.7751834626619423, -0.607906373324246, 0.5080402243159254, -0.6681576603733113, 0.2531414356016741, -0.6841390192171084]; []
IsPositive; [-0.8830209391249813, -0.4528388115229356, 0.6806060811566859, 0.05914371111722372, -0.014012693660421016, -0.6020804801643165, 0.07485739532099656, 0.6760216185999965, 0.7201044106960091, -0.3571010897758353]; [0.6806060811566859, 0.05914371111722372, 0.07485739532099656, 0.6760216185999965, 0.7201044106960091]
DivisibleByTwo; [0.3192013553667312, -0.44913815442654026, -0.8952064450989343, -0.8207659729220254, -0.5897701637982793, 0.2209919063761714, 0.4048652092022924, -0.45195656122948313, 0.8388790834359565, 0.7726397746525944]; []
IsPositive; [-0.5800897473684583, -0.46137364206019993, -0.34997432942993933, -0.46103798689511044, -0.3963232161803454, -0.7969456892462752, -0.7961259370573244, -0.926879298763053, -0.8104093357745017, -0.7566236055250002]; []
IsPositive; [-0.04659399125102093, 0.9260118182802313, -0.2881148269456857, 0.6965485425055593, -0.34432239333741, -0.372612340792585, -0.428430021836659, -0.8824129633104132, -0.6492354462815448, -0.5492437248741697]; [0.9260118182802313, 0.6965485425055593]
IsPositive; [0.36873700875615767, -0.9506627181408855, -0.829326399355534, 0.03658231223560926, 0.6074648825936246, 0.46763963374236495, 0.5815515418118664, 0.7549533235303503, 0.07684983603066509, -0.8964349727635543]; [0.36873700875615767, 0.03658231223560926, 0.6074648825936246, 0.46763963374236495, 0.5815515418118664, 0.7549533235303503, 0.07684983603066509]
DivisibleByTwo; [-0.9839590649059746, 0.8080171015805995, 0.7214561425526791, -0.9302174408619845, -0.9813544892959067, 0.5041357892355243, 0.1367464205164841, -0.9439862535049555, -0.994514900313572, 0.8798429878243004]; []
IsNotNaN; [NaN, NaN, 0.5308352131998637, -0.09766923036638286, -0.626985366757089, NaN, -0.44363867485420405, -0.14566472265131525, -0.3021636776304084, -0.8423615480628084]; [0.5308352131998637, -0.09766923036638286, -0.626985366757089, -0.44363867485420405, -0.14566472265131525, -0.3021636776304084, -0.8423615480628084]
DivisibleByTwo; [0.6349747776418098, 0.18492757019131711, -0.37134387994247375, 0.7373704610006595, -0.850248131002936, -0.8961397297728235, 0.04074451000039425, -0.4153930670397048, -0.21062629671014688, -0.4962416375908292]; []
IsNotNaN; [NaN, 0.7323286040091603, -0.7049400683632663, NaN, 0.6451271382539105, NaN, 0.17998525342739224, NaN, 0.31804409802637323, 0.35837182088803177]; [0.7323286040091603, -0.7049400683632663, 0.6451271382539105, 0.17998525342739224, 0.31804409802637323, 0.35837182088803177]
DivisibleByTwo; [-0.39931727387798843, -0.675007413997307, -0.8125332109852252, -0.703834456397862, -0.14904529956454615, 0.30813000256521605, 0.7648876603756312, 0.8651842581376668, 0.05232584509819693, 0.8442657261127899]; []
IsPositive; [0.20632858436636292, 0.6654156145581345, 0.5310908514798338, -0.08251105400335401, -0.7516850910875792, 0.77187894602362, 0.10052223802534965, -0.32039895544623875, -0.45523195678999406, -0.5707884981786582]; [0.20632858436636292, 0.6654156145581345, 0.5310908514798338, 0.77187894602362, 0.10052223802534965]
DivisibleByTwo; [0.007822562372127528, 0.9513621374138381, -0.6354045137358202, -0.9967931700578383, 0.6589172417695215, -0.3284834755294026, 0.11952059159782569, -0.4773817203991346, 0.4002033851276141, -0.8682072619620977]; []
DivisibleByTwo; [0.5139619105084714, 0.9824316263479811, -0.3851168881699667, -0.4197856774437789, -0.7564636005692684, -0.2697990980722085, 0.18252645911224663, 0.8316988379620727, 0.11602729978620219, 0.7199317702893682]; []
