Operator; left array; right array; result
DoubleSumSqrtsOfTwo; []; [0.5652827594831136, 0.0025325404922178496, -0.7508949494449011, 0.9106428196324527]; []
DoubleProductOfTwo; [-0.4417543944140194, 0.14683867099974957, 0.7663378813814716, -0.745698463978486, 0.5547111756705618]; [0.014875065319971625, -0.9143429428455667, 0.6844999563947867, -0.6147628476335989]; [-0.006571125472293047, -0.13426090256544299, 0.5245582463892905, 0.45842771119141473]
DoubleSumOfTwo; [-0.15577072152831373, -0.5641401584574024, 0.47196535868363654, -0.3201759399954811]; [0.9303997548462468, 0.39022587046552415, 0.1629572232590777, 0.5613690581570576]; [0.7746290333179331, -0.17391428799187825, 0.6349225819427142, 0.24119311816157651]
DoubleProductOfTwo; []; []; []
DoubleSumSqrtsOfTwo; [-0.9436980163983593, 0.8746995228219092, 0.7608571431634126]; []; []
DoubleSumSqrtsOfTwo; [0.9571178075520967, 0.8867723297956316, 0.8963959978839395, 0.5700527285248631, 0.9246601138191795]; [0.12158854401173724, 0.718078238747178, -0.448701838368881, 0.06284236662199616]; [1.32701946777579, 1.7890808697342422, NaN, 1.0057021611225387]
DoubleProductOfTwo; [0.952477960091769, -0.8406709263018244, 0.32093667554830363, -0.18570105121438996]; [0.6840368193377149]; [0.6515299943104486]
DoubleSumOfTwo; [-0.27727760268610746]; [0.7720728353378647]; [0.4947952326517573]
DoubleSumSqrtsOfTwo; []; []; []
DoubleSumOfTwo; []; [0.2651320667362529, -0.7445603076070442, -0.6766252917871984, 0.7039868849847084, 0.9085978599766669]; []
DoubleProductOfTwo; [0.8392681132962718, 0.5428358871951877, 0.8167850551524958]; []; []
DoubleSumOfTwo; [0.7634851999425425, -0.30425694743979914, 0.533357734795231, 0.9614840308490935, 0.2242010059259667]; []; []
DoubleSumSqrtsOfTwo; [-0.9749025309641954, -0.03384478399109403, -0.3685697163316599, -0.9315955770158806, -0.3122204304910241]; []; []
DoubleSumOfTwo; [-0.2526453381666738, 0.3391585414965266]; [0.15936036356194117]; [-0.09328497460473262]
DoubleSumSqrtsOfTwo; [-0.6483711516167947]; [-0.3820992671050709, 0.7434959450498144, 0.5540110089693713, -0.12287793624655374, -0.7912277665514167]; [NaN]
DoubleSumOfTwo; [-0.8250772069953463, 0.9640914518321808]; [-0.43376197288037166, 0.6404352783508933, 0.5529027056464442]; [-1.258839179875718, 1.6045267301830741]
DoubleProductOfTwo; []; [0.8164452395754811, -0.7225565214810619, 0.3355396989580477, -0.40290054172460343, -0.47997857014521683]; []
DoubleProductOfTwo; [-0.6512440137359217, 0.3564436680852321]; [-0.2949010421707825, 0.9708654150852118, -0.2272075605418653, 0.2842284250866094, 0.9024603694951101]; [0.19205253835820668, 0.34605882977006436]
DoubleProductOfTwo; []; [-0.1872580536871229]; []
DoubleSumOfTwo; [-0.867835366880072]; [-0.5765549756120842, -0.13337869620807186, 0.5198578179947961]; [-1.4443903424921563]
DoubleSumOfTwo; [0.4305376337711446, -0.05308965338530469, -0.8156133172356117, -0.020520279694470345]; [0.1441179151852816, 0.48745087003950904]; [0.5746555489564262, 0.43436121665420435]
DoubleSumOfTwo; [-0.2765668419426721, 0.9260706290325806]; [0.5702936732242931]; [0.293726831281621]
DoubleSumSqrtsOfTwo; [0.6385683381200471]; [-0.718535878608483, -0.6851033805764053]; [NaN]
DoubleProductOfTwo; [0.8646005630136486, -0.15641916565385428, 0.5223542803319037, -0.47811636041190875]; [-0.965859035998547, -0.7671291779375351, -0.3831751533800172, -0.8821676208235141, -0.40496287720551494]; [-0.8350822663161637, 0.11999370596171635, -0.20015318148488567, 0.4217787721413713]
DoubleSumSqrtsOfTwo; []; [0.11144922904774957, -0.02410624021954466, -0.1110730468937351, -0.39654815444858604, 0.004123293538854433]; []
DoubleSumOfTwo; [0.9985494491619786, -0.23819789793253676, -0.6658364405564472, 0.43313435858825833, -0.149201587001899]; [-0.6597395550592942]; [0.3388098941026845]
DoubleSumOfTwo; [-0.992364195512828, -0.06679135517621626, 0.9514405358025035]; [0.8720610694958029, -0.34402589412618023, -0.7984563414175925, -0.9393700338829301]; [-0.12030312601702509, -0.4108172493023965, 0.15298419438491107]
DoubleProductOfTwo; [0.6380270987149097]; [0.4701162492180524, 0.7353298491913978, -0.3495189680830293]; [0.2999469065473294]
DoubleSumOfTwo; []; [-0.007950384268945232, 0.7850558329519404, 0.8269863928573851]; []
DoubleProductOfTwo; [0.5826828790177874]; [-0.42060754937869294]; [-0.24508081780859295]
DoubleSumOfTwo; [0.23685086160900548, -0.6326335748021028, 0.026289672544720588]; [-0.3779696263796657, -0.43537657790405415, 0.5497673456306149]; [-0.1411187647706602, -1.068010152706157, 0.5760570181753355]
DoubleSumSqrtsOfTwo; [-0.9804447268892267, 0.5835825891548159]; [-0.9672911094834995, -0.7273421018062762, -0.8871141061094812, -0.9872699994760774]; [NaN, NaN]
DoubleSumOfTwo; []; [-0.4874334296842957, -0.19338680550150156, 0.12568605745524142, 0.912833433449078, 0.891016852152392]; []
DoubleSumSqrtsOfTwo; [-0.8789735597961161, 0.2080770002277912, -0.40320100945885073, -0.3391774456447427, -0.8412556101502333]; [0.11917001432634589, 0.6600633055783893, 0.3015861362356347]; [NaN, 1.2685973807320448, NaN]
DoubleProductOfTwo; [0.3018513238002576]; [-0.08322046504639036, -0.5590992870536515, -0.6266133033370187, 0.28940534396535633]; [-0.025120207541525993]
DoubleProductOfTwo; [-0.900835837485626]; [0.13608210113878894]; [-0.12258763354616459]
DoubleSumOfTwo; [-0.8774655849831068, 0.928007564819427]; [0.6475882225075018]; [-0.22987736247560497]
DoubleSumOfTwo; [0.6012432083910597]; [0.8382728575173297, -0.9213353025639788]; [1.4395160659083894]
DoubleSumSqrtsOfTwo; [-0.6108031534565475]; [0.7891487307446086, -0.7987867932534831, 0.6084813746487086]; [NaN]
DoubleSumOfTwo; [-0.36709596262492994]; []; []
DoubleProductOfTwo; [-0.23463420823690062, -0.571263467878673, 0.26329907710720124, 0.12669312341280703]; []; []
DoubleSumSqrtsOfTwo; [0.289689883434205, -0.8504451235210886]; [0.7474748118350809, 0.04293463277803822, -0.9370070945260995, 0.629073436952795, 0.6895718300602944]; [1.4027947241670515, NaN]
DoubleProductOfTwo; [-0.08097173242283451, 0.9129923657664676, 0.21915069562688028, -0.3721877313591404]; [0.26387920681235744, 0.42876815123326284, 0.7203054936312288]; [-0.021366756525960016, 0.3914620487597712, 0.15785544999314716]
DoubleProductOfTwo; [0.6667202223456643, -0.11357776438754641, 0.8526815758635011, 0.7213731984554876, 0.03646122700429055]; []; []
DoubleSumOfTwo; [-0.08938963191626592, -0.6003198158763094, 0.9210672585010704, -0.5710371000990877, -0.08801286519921137]; [0.5977984108845606]; [0.5084087789682947]
DoubleProductOfTwo; [0.9378543526208813, -0.31002048280243955, -0.3558341912408922]; [0.7299941867949966, -0.8209951894995651, -0.7861595701825106]; [0.6846282254736282, 0.2545253250271355, 0.2797424548421811]
DoubleSumOfTwo; []; [-0.5807590307854096]; []
DoubleProductOfTwo; [-0.9937120430518198, 0.9666335717051759, -0.7822976965980581, 0.36436182554280383, 0.7065001754576825]; [0.30799992199761217, 0.96470130053447]; [-0.30606323174804834, 0.9325126637642631]
DoubleSumSqrtsOfTwo; [0.49739921579550384]; [0.20771078477261717, 0.449286416300579, 0.9604804781496064, -0.1521584886029519]; [1.161018337911934]
DoubleSumSqrtsOfTwo; [-0.4531086362425487]; [-0.33346783408566916, -0.8348539647902158, -0.30524224267231426]; [NaN]
DoubleSumSqrtsOfTwo; [0.9679914368479317, -0.37565245034213723]; [0.3427832577181462, -0.5981300285600468, -0.2359150462035502, 0.07249075563799101, -0.18675827765807296]; [1.5693425072410587, NaN]
DoubleProductOfTwo; [-0.699521468913942, 0.6490147654970466, -0.34765978993732083, 0.075977807816755, -0.3958108376767544]; [0.8792977310174155, 0.14974947139642025, 0.04331951358431452, -0.5649083862258251]; [-0.6150876404139987, 0.09718961806165438, -0.0150604529929097, -0.042920500802738945]
DoubleSumSqrtsOfTwo; [0.39588382847060344, 0.6577244993561182, -0.0494019490998292, 0.6992448128309734]; [-0.6333108250569759, 0.8018165739054945]; [NaN, 1.7064442682922816]
DoubleSumSqrtsOfTwo; [0.4031677951566517, 0.7700250866311429, 0.6846513276363007, 0.4330769732804236, -0.5245850072889833]; [-0.2789021985159561, -0.7876157312284775, -0.9921275221821122, -0.7055668493381853]; [NaN, NaN, NaN, NaN]
DoubleSumOfTwo; [0.19647608839786046, 0.8633369414018617, -0.749185377172185]; [-0.878878282235559, 0.9133327022115709, 0.9706888539313956, 0.636507726533226]; [-0.6824021938376985, 1.7766696436134326, 0.22150347675921056]
DoubleSumOfTwo; [-0.4159578653630074]; [0.2639350705742669, 0.8190436838217345]; [-0.15202279478874048]
DoubleSumOfTwo; []; [0.7277749127094577, 0.42644469102111504, 0.5162759483796908]; []
DoubleProductOfTwo; [-0.29969024270037203]; []; []
DoubleSumOfTwo; []; []; []
DoubleSumOfTwo; [0.4724734597526208, -0.1055443680791146, -0.29132418670832094]; [-0.5960148507116525, -0.8120351977902407, -0.2755052908224105, -0.508164135697176, 0.6633923732735441]; [-0.12354139095903172, -0.9175795658693553, -0.5668294775307314]
DoubleProductOfTwo; [0.1517571090529546, -0.4194309245145569, 0.8925237973771916, 0.7532364628336394, 0.46879138311851465]; [0.7471693623374787, 0.25627753606868753, 0.17018806251123286, -0.799703995397786]; [0.1133882624012753, -0.10749072388560231, 0.1518968958207924, -0.6023662088073574]
DoubleProductOfTwo; []; []; []
DoubleSumSqrtsOfTwo; [0.9010705809360058, 0.4722154462307395, 0.12702119727303818, -0.3839136403485033]; [-0.13458014224583725, -0.008755482517704971, -0.5478360547775842]; [NaN, NaN, NaN]
DoubleSumOfTwo; [0.871640927936661, 0.392069569973754]; [0.11966072878366751, -0.5896526396603252, -0.5867630694537873, 0.22319455814679068]; [0.9913016567203286, -0.19758306968657124]
DoubleProductOfTwo; [-0.3966597911502052, -0.053632236250854115]; [0.9788825770432104, -0.04919177585360934, 0.6134212646303718]; [-0.3882833585705345, 0.002638264944179837]
DoubleSumSqrtsOfTwo; [0.9028038636748139, 0.1897357899817418, -0.4771281670394669]; [-0.09741854424964935, 0.8738596919636235, 0.41615281475502264, 0.6372688925239289, -0.8782826684272997]; [NaN, 1.370391346940934, NaN]
DoubleProductOfTwo; [0.5313313069791847, -0.14553774383359097, 0.7199946197763583, -0.9299636736515953]; [0.49502458578638153]; [0.2630220601527077]
DoubleSumOfTwo; [0.5650143074536138, 0.7014889750616402, -0.0027249923021652744, 0.11877835508074908]; [-0.4009922342171468]; [0.164022073236467]
DoubleSumOfTwo; [-0.6148807504622118, -0.015040625646252082, 0.9245761500207712]; [-0.7189502752690815]; [-1.3338310257312933]
DoubleProductOfTwo; [-0.15560322218393008]; [-0.0956726600323341, 0.8410571388922332, -0.7836425697901412, -0.009409052298925191]; [0.014886974175938891]
DoubleSumSqrtsOfTwo; [0.4817362120712829, 0.8890662028826197, -0.34403629532674973, 0.21998002568894415, 0.598080607527613]; []; []
DoubleSumSqrtsOfTwo; [0.5057094199499588, 0.48024075760006046, -0.11994109229704009, 0.10695026851423761]; [-0.6902886372128236, 0.25051061806574904]; [NaN, 1.1935044106778485]
DoubleSumSqrtsOfTwo; [-0.8133999926757645, -0.8230404431882703, -0.21530321440547429, -0.4695362715287932, 0.17854261869555632]; []; []
DoubleProductOfTwo; [-0.5531158916343268]; [-0.9066506000009351, -0.006440764884469541, -0.6847360829982776]; [0.5014828550203146]
DoubleSumOfTwo; [0.1279429597741195]; [-0.9657734302186007, -0.2904650138366156, -0.5991370153075464]; [-0.8378304704444812]
DoubleProductOfTwo; [0.5957677248260471, -0.9856616623334244, -0.5573920014556213]; []; []
DoubleSumSqrtsOfTwo; []; [-0.33733266002781637, -0.01469703000785283, -0.16557315891223912, 0.7958981361047979]; []
DoubleSumOfTwo; [0.016249693558158418, -0.1649134751416137]; [0.0702099637007354, 0.601063005026998]; [0.08645965725889382, 0.43614952988538436]
DoubleSumOfTwo; [0.8168201166298226, -0.07694035712737168, -0.11831798120677672, -0.9209167718371132, 0.7269383580838167]; [0.09426143476998972, -0.8061088192528081]; [0.9110815513998123, -0.8830491763801798]
DoubleProductOfTwo; []; [-0.012408897575355127, 0.7230673978566062, 0.1014646162471271, 0.3664427417228322]; []
DoubleSumOfTwo; [-0.7779102412499164, -0.28143106771518633, -0.7369867961077157, -0.29469509958516826, 0.1528606965284689]; [0.7983188140097313, 0.08782476624458102, -0.53067876219443, -0.6436865228005457, 0.6401987016457735]; [0.02040857275981489, -0.1936063014706053, -1.2676655583021457, -0.938381622385714, 0.7930593981742424]
DoubleSumSqrtsOfTwo; [0.9257243922801983, 0.38516353648014356, -0.6610174295457396, 0.3412984490554134]; [0.17197981982622057, 0.10828562532168817, -0.6456704136007394, -0.4282580088015058]; [1.3768502199893693, 0.9496832624086035, NaN, NaN]
DoubleSumSqrtsOfTwo; [0.5881103304311346, -0.44623276463507966, -0.5230361382541042, -0.25337281368546005, 0.8967454988302233]; [0.5697655709838192, 0.7258450245330401, -0.263351138021789]; [1.52171169131559, NaN, NaN]
DoubleSumSqrtsOfTwo; [0.9665125518460651, -0.9623803249111096, -0.7825132894323648, -0.46944870548487816, 0.6236349103123688]; [-0.8435188287967312]; [NaN]
DoubleSumOfTwo; []; []; []
DoubleSumOfTwo; [-0.9178679546147839]; []; []
DoubleProductOfTwo; [-0.7823639128668618, 0.4101265675781198, -0.593326622720223, -0.80967496303305, 0.6761283288787598]; [-0.5458288561618736, 0.48480806283172395, 0.6142560373785682, -0.5667181413311808, -0.9735231273564195]; [0.4270367996624469, 0.19883266674337238, -0.3644544601433329, 0.4588574901324826, -0.65822656522432]
DoubleSumOfTwo; [0.3650180041923099]; [-0.8122889053015188, 0.3056841712325815]; [-0.44727090110920886]
DoubleSumSqrtsOfTwo; [0.32710252391373773, -0.4355085209040306]; [0.530409336867582, 0.6332975012010686, -0.419548633634963, 0.6778227955571441, -0.5330348745196383]; [1.3002208435920832, NaN]
DoubleSumSqrtsOfTwo; [-0.8116474628063979, 0.6118345361941733, 0.29352093081249797, -0.1023355324076709]; [-0.8297116261440614, 0.7372080020158127, 0.517347079147203, 0.8676998952839492]; [NaN, 1.6408067045892052, 1.2610441533323211, NaN]
DoubleSumOfTwo; [0.09051040188793769]; [0.01838929451023974, -0.4990208922318806]; [0.10889969639817743]
DoubleProductOfTwo; [-0.16654163189820204, -0.19418322524550446, 0.7192658031319299, -0.38916970699553044, 0.9389132130107865]; [0.4769212235947855, -0.85579371576935, 0.17067630782442444, 0.49212099434784307, 0.8085786864941296]; [-0.07942723886436287, 0.16618078387292692, 0.12276163162292714, -0.19151858317669918, 0.7591852125082446]
DoubleProductOfTwo; [-0.051906684819534865]; []; []
DoubleSumSqrtsOfTwo; []; []; []
DoubleSumOfTwo; [-0.9269256941746731, -0.2287196825340334]; [-0.42960140278626446, -0.5219038420278321]; [-1.3565270969609375, -0.7506235245618655]
DoubleSumSqrtsOfTwo; [-0.021616056071274814, 0.7917599635668033]; [0.1025075495932164, -0.2594938915900762, -0.6934690811398927, -0.2700407819194468, 0.2778031855208076]; [NaN, NaN]
DoubleProductOfTwo; [0.18166082743532264, -0.22452101206771213, -0.6731854776581709]; []; []
DoubleProductOfTwo; []; [-0.7773827847647636, 0.6301867432981862, 0.8517066354703791, -0.216778871388021, 0.9901850087688109]; []
DoubleProductOfTwo; [-0.5315088643595174, -0.8481879479677021, -0.5884093609265839]; [0.3363967725408512, 0.384639335964303]; [-0.1787978665473947, -0.32624644907922173]
DoubleProductOfTwo; [-0.4293028206317273, -0.3777813528586047, 0.7648835978707127, 0.9014559642893909]; [0.7106117863022354, -0.2999096601615856, 0.08856941660520645, 0.287890749151698]; [-0.3050676442336999, 0.11330027715120819, 0.06774529403430035, 0.25952083288653904]
DoubleSumSqrtsOfTwo; [0.0466645182336336, -0.7327959548856866, -0.1026010887145179, -0.5716055669440128]; [-0.8117624072274754, 0.32744710276617517, 0.5270282462440525, 0.7592519021547239]; [NaN, NaN, NaN, NaN]
DoubleProductOfTwo; [-0.4179311709701832, 0.3555102442377067, 0.39084514831606443, 0.47652392794452436, 0.051593677252843806]; [-0.9817193167681624, -0.1322387082035943]; [0.41029110362096627, -0.047012215451138636]
DoubleSumSqrtsOfTwo; [-0.12154911743057695, -0.32153241943137356, -0.19339281329337976]; [-0.669200013590082, -0.07412359471965102, 0.7060168118869887, 0.10728293167568159]; [NaN, NaN, NaN]
DoubleProductOfTwo; [0.35657822979366616, 0.8874504740719282, 0.38069504881372307]; [-0.9404543439671862, 0.6733620755263512]; [-0.3353455451735829, 0.5975754931479179]
DoubleProductOfTwo; [-0.7179243362321273, -0.05354998993218785, -0.0826521875642221, 0.9854513977672996, -0.7607368906912992]; []; []
DoubleProductOfTwo; [-0.6317665877071179, 0.5781014774659063, -0.5457714427981311, 0.8687676884543929]; [-0.21528511096551983, 0.44055785595511, -0.6787164190938391, 0.2640751617474668]; [0.1360099399388347, 0.25468714743686105, 0.37042403929962553, 0.22941996784956667]
DoubleProductOfTwo; [0.17658947326532326, -0.1810678298192936, 0.9266063801509183, 0.3600171911679646, 0.28569541351789285]; [-0.23266053701114076]; [-0.04108540168042459]
DoubleProductOfTwo; []; [-0.7950848310655942, -0.9770066677466924, 0.4314883755319123, -0.6419408558660309, -0.36423187794919887]; []
DoubleSumSqrtsOfTwo; []; []; []
DoubleSumSqrtsOfTwo; [0.47298201913431104, 0.5452448867856738, 0.2090996955043789, -0.4218172772126081, 0.41972565518637084]; [-0.5213027530526329, 0.3709873796538177, -0.061933240099603326, 0.14117869045142095]; [NaN, 1.3474943259993364, NaN, NaN]
DoubleSumSqrtsOfTwo; [-0.5573706556114257]; [-0.4403429525946436, 0.19684216040412794, 0.14050950725663558, -0.707708655483678]; [NaN]
DoubleSumOfTwo; [-0.8382248686779012, -0.027779588474153405]; [-0.011348720530212741, 0.3003195000817567, -0.5592213937447319, 0.4871685267078629]; [-0.849573589208114, 0.27253991160760327]
DoubleProductOfTwo; [-0.5074006325503904, -0.9558250404198658]; [0.9363668012069741, -0.40931998459211427, -0.5746441174231882, 0.08394384787984355, -0.8228637965602441]; [-0.4751131072316043, 0.39123829081741646]
DoubleSumOfTwo; [0.3040451845643468, -0.2883737208752799, 0.21766967587744368, -0.48449941576714184, -0.7411069573346203]; [-0.8159263526074494, 0.27521535284125664, 0.14599388943722613]; [-0.5118811680431026, -0.01315836803402326, 0.3636635653146698]
DoubleSumSqrtsOfTwo; [-0.1516456231118093]; [-0.19185756684747135, -0.3520172106716657, 0.18250389663455202, -0.5697253562521736]; [NaN]
DoubleSumOfTwo; [-0.38083571704905794, -0.9493558591743647, 0.04693973396864859, 0.5014825778321483, 0.5236621824426024]; []; []
DoubleProductOfTwo; []; [0.3723676627612442, -0.6387108411418341, 0.4046996663980882, -0.4125265637949582]; []
DoubleSumSqrtsOfTwo; [0.8988493201744381, -0.9630265914726508, 0.8347521808983904, -0.5334868399520891]; [0.672789405577759, -0.6801377863012226, -0.8216725012189219, -0.7682946691102337, 0.3092813173783924]; [1.7683140506215111, NaN, NaN, NaN]
DoubleSumSqrtsOfTwo; [0.17626337062363606, 0.5515925693775667, 0.997809183726609]; [0.19390766647559565, 0.5946556679153581, 0.29257247398509034, 0.48657409878415336, 0.6651681130016378]; [0.8601867966747145, 1.5138319840213543, 1.539803680638383]
DoubleSumSqrtsOfTwo; [-0.8701148182491392, -0.37973688466747246, 0.9378577697808914, 0.5191892884749798, -0.66899947410232]; [0.19003237093678393, -0.3719542492503978]; [NaN, NaN]
DoubleSumSqrtsOfTwo; [-0.026502152289008096, 0.57085369062299, 0.3549401541546948, 0.6633148182222861]; [0.08796361274652664]; [NaN]
DoubleProductOfTwo; [-0.7649527139613512, -0.9148126543948407, 0.6859834874292079, -0.43515043954638055, -0.7702380601063712]; [0.7029809428459606]; [-0.537747180093127]
DoubleSumSqrtsOfTwo; [-0.33460122945756865, -0.1637676390780396, 0.33245036012509144, 0.8576816040181166, -0.9594911218700626]; [0.39588561641629516, 0.0363387083427118]; [NaN, NaN]
DoubleSumSqrtsOfTwo; [-0.5038233062424227, 0.13947684684218742, 0.44404701649623024, -0.7708727304774923]; [-0.023998671841328534, -0.9776086157446613, 0.08731709507122543, 0.2982378000605397]; [NaN, NaN, 0.9618631907037947, NaN]
DoubleProductOfTwo; [0.9238075876307936, -0.3236640532798096, 0.5722663353569408, 0.06940577811224036]; [0.9593596910494588, -0.16222134849758785, 0.33015609827297077, -0.6376290222857832, -0.014688187032782407]; [0.8862637618586241, 0.05250521918324584, 0.188937220454419, -0.04425513843869183]
DoubleSumOfTwo; [0.6254504183423479, -0.028494390351372578, -0.11312888388885467, 0.3856029936332408, 0.6375800620914891]; [0.793066054996336, -0.29590236347499044, -0.8196184793275028, -0.7994403175752656, -0.15390844819582994]; [1.418516473338684, -0.324396753826363, -0.9327473632163574, -0.41383732394202477, 0.48367161389565916]
DoubleProductOfTwo; [0.5432258437846127, -0.04705027166647113]; [0.051816224562488244]; [0.02814791230969065]
DoubleSumSqrtsOfTwo; [0.16362346113913362]; [-0.11041680945251886, -0.8057020354812792, -0.10213236757067712, -0.6441658601711799]; [NaN]
DoubleSumSqrtsOfTwo; [-0.049524820264731595, -0.3966252011374698, 0.009246728493624623, -0.5436968110378744]; [0.3566389549545419, 0.8363184034447384, -0.7028231575915023]; [NaN, NaN, NaN]
DoubleSumOfTwo; [-0.3615717077086711, -0.2282504171810109, 0.21545229558477708, 0.16258879697245554]; [-0.7800001043807776, -0.5406438931331201]; [-1.1415718120894487, -0.768894310314131]
DoubleProductOfTwo; []; [-0.011072710440449551, -0.18373030248712108, -0.764701780875064, -0.7039219766818299, -0.1255317337578945]; []
DoubleProductOfTwo; [-0.26036094013278976]; [0.777898127286238, -0.27815404291205725, -0.17423578644016469, 0.4888491656740146, -0.6963035922781302]; [-0.20253428774778148]
DoubleSumOfTwo; []; [-0.3175765506981856, 0.227616777040214, 0.14061136385035122]; []
DoubleProductOfTwo; [0.13250348442850446, 0.7463992791957132]; []; []
DoubleProductOfTwo; [-0.9439588536720775, 0.3363515787962177, -0.5021298648723951, -0.7317059820871668]; []; []
DoubleSumOfTwo; [-0.06790847653366616, 0.10200279751883023]; []; []
DoubleSumOfTwo; [-0.33135245097622, -0.2786232057580036, -0.5467387750961337]; [0.40394412706793825, -0.0978922510594078]; [0.07259167609171824, -0.3765154568174114]
DoubleSumOfTwo; [-0.8617586856099355, 0.7038851980534755]; [-0.2526994951637205, -0.7127212842366699, 0.9741440194464559, 0.4260521133362454, -0.9689809079997587]; [-1.114458180773656, -0.008836086183194425]
DoubleSumOfTwo; [0.8984774736132504, 0.6475595308967532, -0.024890395382319852, 0.344841986782241, -0.8971480590279977]; [0.5143623854210289, 0.8889259332856025, -0.5735017778426392, -0.6479290897458649]; [1.4128398590342792, 1.5364854641823558, -0.5983921732249591, -0.30308710296362396]
DoubleSumSqrtsOfTwo; [-0.9035032763451327, 0.6676485622709671, -0.9068590571069648]; [0.33712929795043545, 0.012949040550404023]; [NaN, 0.9308914966032874]
DoubleSumOfTwo; [-0.8092215776438789]; [-0.8807414827723299, -0.0034358792624780143, 0.2502916287186785, -0.9090433069554638]; [-1.6899630604162088]
DoubleSumSqrtsOfTwo; [0.7539917847130464, -0.45779539420003723, -0.837981426732455, 0.3589399557793833, -0.646006922280209]; []; []
DoubleSumSqrtsOfTwo; []; [-0.5970915506808421, 0.9003480340554895, 0.4718157638958871, 0.4536646493236063]; []
DoubleProductOfTwo; [-0.2144363818980024, -0.13888159970230962, 0.4165908957107116, -0.9971812223295067, 0.41396383845396745]; [-0.838140720703896, 0.12386166203324844, 0.4725037916485151, 0.9299935004484581]; [0.1797278636691276, -0.017202105764964372, 0.19684077778956235, -0.92737205553569]
DoubleSumOfTwo; [0.1750704406621988, 0.031353292814328526, 0.06294362788756458]; [-0.5721131632820473, 0.7031957599914334, 0.7646947323134283, 0.3432421522788558]; [-0.3970427226198485, 0.7345490528057619, 0.8276383602009929]
DoubleSumSqrtsOfTwo; [-0.35884731913633106, 0.5087322093236657]; [0.2528724921826029, 0.31070610865494896, -0.5869137805571547]; [NaN, 1.2706648394165914]
DoubleSumSqrtsOfTwo; [-0.39763290123299844, 0.9883852294431323, 0.07834362351047663]; [0.2556152342479683, 0.943988892281233, -0.4028001512982431, -0.817700943698735, 0.037558464669232405]; [NaN, 1.9657665610969883, NaN]
DoubleProductOfTwo; [-0.9741274990383253]; [0.40118665844334056]; [-0.39080695623695416]
DoubleSumOfTwo; [0.8466867789122734, 0.14220042294746404]; [-0.8157103586943524, 0.23579020821742191]; [0.03097642021792102, 0.37799063116488596]
DoubleSumOfTwo; [-0.5485090064933853, 0.7954153642767865]; [-0.5747487299332401]; [-1.1232577364266254]
DoubleProductOfTwo; [-0.5717296792712798]; [-0.08009869400341918]; [0.045794800632623235]
DoubleProductOfTwo; []; [-0.31059819210009576]; []
DoubleSumOfTwo; [-0.9479598283363662, -0.45307414864925555]; [-0.22534374904758536, -0.48658322714346114]; [-1.1733035773839515, -0.9396573757927167]
DoubleProductOfTwo; [0.4466455253368462, 0.29929197661651163, -0.791329077789029, -0.4482732836261172]; []; []
DoubleSumOfTwo; []; [-0.01583556091486682, -0.21262029304776098]; []
DoubleSumOfTwo; [-0.3265719632121391, -0.8796792407173346, -0.7513112788849028, 0.22060470157608747]; [-0.7906860308807189, 0.28775984000141297, 0.47114761343343203, -0.8578695291827563]; [-1.117257994092858, -0.5919194007159216, -0.28016366545147076, -0.6372648276066688]
DoubleSumSqrtsOfTwo; [-0.9747145412089486, 0.06186328438021693, 0.42403145890140514, 0.2419293685742656, 0.6809552712760736]; [0.02276268789424085, 0.8848730508259255, -0.09005799548349769, 0.6323879553438034, 0.2441808766403175]; [NaN, 1.1894002198467408, NaN, 1.2870914014534778, 1.3193467546520588]
DoubleSumOfTwo; [-0.7801822106252319, -0.1747041347479057]; [0.8736011252146048, 0.26862202779400635, -0.3594341160031158, 0.0826191582274085]; [0.0934189145893729, 0.09391789304610065]
DoubleProductOfTwo; []; []; []
DoubleSumSqrtsOfTwo; []; [0.9389690192666991, 0.8884874608037845]; []
DoubleSumSqrtsOfTwo; [0.2524239275319691, -0.3759328809618736]; []; []
DoubleProductOfTwo; [-0.3725698741160046]; [0.533958846331525, -0.8618447677045971, -0.9242467582143759]; [-0.19893698016086334]
DoubleSumOfTwo; [0.4676022384997196]; [-0.8201807267993086, 0.41177235463650264, -0.5201412143858448, -0.8363876036897446, 0.857211542490584]; [-0.35257848829958904]
DoubleSumSqrtsOfTwo; [0.4283680534412464, 0.8687691537321574]; [0.04465185059939003, -0.9073409664320082]; [0.865808166967426, NaN]
DoubleProductOfTwo; [-0.8494664867381072, -0.8548331026441482, -0.11303047451449921, -0.10449492093337809, 0.04886698115847832]; [0.3120864836047774, -0.6147797461074924]; [-0.2651070087862002, 0.5255340778078494]
DoubleSumSqrtsOfTwo; [0.27625302411065666, -0.14647227360336212]; [-0.2604840155624324, -0.9792121452341738, 0.7021185396169869]; [NaN, NaN]
DoubleProductOfTwo; [0.9757445300596606, 0.8592078936498773, -0.892094836004308]; [-0.6175672925355558]; [-0.6025879076353228]
DoubleSumOfTwo; [0.48263997902860023]; [0.44694021854347854]; [0.9295801975720788]
DoubleProductOfTwo; [-0.6059023587004149]; [0.8253640524895178, 0.1356862354179229, 0.4815462160351529]; [-0.5000900261899319]
DoubleSumOfTwo; [-0.25032109675568104]; [0.7187538637735018, 0.1925595226238248, -0.5373898932244987, 0.20173060465609094]; [0.4684327670178208]
