Operator; Left array; Right array; Expected result
DoubleSumOfTwo; [-0.8738302271356391, 0.5354707782313024, -0.33930564643579797, 0.7564079999508353, 0.6356149266651738, -0.6308063111475635, 0.65613826651638, 0.9354132717513954]; [0.45180186133227607, -0.05906628897730437, 0.027584478570960247, 0.6418716332414529, 0.5246373985757287, -0.7620202432937702]; [-0.422028365803363, 0.47640448925399803, -0.3117211678648377, 1.3982796331922882, 1.1602523252409025, -1.3928265544413336]
DoubleSumSqrtsOfTwo; [-0.662197751544009, -0.43077415596257773, 0.2291048290093105, 0.27591435005230314, 0.47012324183300835, 0.09665654631903342]; [-0.9627745102259866]; [NaN]
DoubleSumSqrtsOfTwo; [0.2506570826402974, -0.8008914013291693, 0.49123662251758793, 0.6340527063975905, -0.9624288606931872, -0.3157174681882411]; [0.08388785339178861, -0.7824944967895013, -0.3763687719375064, 0.5730299017448168]; [0.7902906504751641, NaN, NaN, 1.5532616512734831]
DoubleSumSqrtsOfTwo; [0.8654904173960056, -0.49494729345382504, -0.7050200349271079, 0.21320589046329963, 0.46707314348572937, -0.6840399174762717, 0.7010272882574891, 0.8529608117329035]; [0.06809127316585517, -0.49398221885890137, -0.7224242322927756, -0.35526425077415547, -0.5806245937954422, 0.5023669084529545, -0.06471708663150055, -0.22766286565646876]; [1.1912604203811745, NaN, NaN, NaN, NaN, NaN, NaN, NaN]
DoubleSumOfTwo; [-0.12758451638701906, -0.2807511333352799, -0.5939004881279575, 0.0844527973297311, -0.9257808261890026, -0.26879742807339335]; [-0.810848123106525, 0.24492394831707576, -0.1829356793018928, -0.7615610196576099, -0.3511379052597927]; [-0.938432639493544, -0.035827185018204144, -0.7768361674298503, -0.6771082223278788, -1.2769187314487953]
DoubleProductOfTwo; [0.5995410521703568, 0.4250424072199901]; [-0.42017497593372566, 0.49193175677953116, -0.288914599307174, -0.9856323175699522, 0.8321120483007718]; [-0.25191214716696025, 0.2090918580895306]
DoubleProductOfTwo; [0.5861385374614863, -0.17120990702986139, 0.9820058562820688, -0.6202528534708764, 0.8827275433129556]; [-0.5646518971481416, 0.15725273331581358, -0.7521910316174665, 0.06550405429523942, 0.4540480125687245]; [-0.33096423716926526, -0.02692322585119203, -0.7386559980912029, -0.04062907659053347, 0.40080068668092017]
DoubleProductOfTwo; [-0.8065265200702196, 0.4613128903763093, -0.5264361700822551, -0.2994288356403092, -0.017711093587231996, -0.7726672977430185]; [-0.16907425296747824, -0.2715632577173617]; [0.13636286887933224, -0.1252756313376027]
DoubleSumSqrtsOfTwo; [0.14007552245501675, 0.8320900915122293, -0.6348417197714866, -0.6559648061725651]; [0.9467224017955791, 0.8033660466607642, -0.9915790918348006, 0.756642634121333, -0.4908326900505122]; [1.3472632555406254, 1.8084966165430818, NaN, NaN]
DoubleProductOfTwo; [-0.8907090808561364, -0.4518314939899175, 0.5807626332630766, -0.6226878385892742, -0.052226315306881155]; [-0.16890433447607323, -0.2774052847399453]; [0.1504446245138006, 0.12534044424474794]
DoubleSumOfTwo; [-0.6425042642947771, 0.026533633171365034, 0.42272542181863115, 0.5593820382536676]; [-0.15121958957217552, -0.8580988611803293, -0.5136241093842606, 0.7598433649460417, -0.3301132182706028, 0.33525721790676255, -0.9309350721453538, -0.40415101662555997]; [-0.7937238538669527, -0.8315652280089643, -0.09089868756562947, 1.3192254031997093]
DoubleSumOfTwo; [0.04968970035705289, 0.9391838507358261]; [0.4682430454006625, 0.6599512773954948, 0.22176540442044024, 0.4211023743168414, 0.9020708527921038, 0.5303357432296332, 0.8935594099314799]; [0.5179327457577154, 1.5991351281313209]
DoubleSumOfTwo; [0.09037750472648831, 0.31728729206944384, 0.1142100122008105, -0.2466784661089283, -0.544429785330357]; [0.8425414699701193, 0.15260238381755786, -0.8669661672613218, 0.30172381805093673, 0.13139049585832652]; [0.9329189746966076, 0.4698896758870017, -0.7527561550605113, 0.055045351942008436, -0.4130392894720305]
DoubleProductOfTwo; [0.6839939809043507, -0.03686632110200283, 0.4032723951003938]; [-0.3620077643905666, 0.1411619659676533, 0.23491461388533597, 0.19636272127450471, -0.2701481522056768, -0.804935260875435, 0.32906312690468953]; [-0.2476111318837879, -0.005204122364753502, 0.09473457898562367]
DoubleSumSqrtsOfTwo; [-0.2949158955178921, -0.5341928332518986]; [-0.5384479067892898, -0.22612999259405697]; [NaN, NaN]
DoubleProductOfTwo; [-0.4506955482786812, -0.1462319927499911, -0.2488619561616512, 0.26423134882407484, 0.9575129447620991, -0.548448924574926]; [0.6690254015218855]; [-0.301526770151271]
DoubleSumOfTwo; [0.10263325476327911, -0.6337264888501406, 0.2854808935326436, 0.062025904455523584, -0.3841074600148946, 0.4085963877483474, 0.23525592617223134, -0.9390285531849005, -0.4434972501331278]; [-0.1232624809127183]; [-0.020629226149439184]
DoubleSumSqrtsOfTwo; [-0.7300946606889696, -0.7183335699839728]; [-0.9849853927753855, 0.5906399047337982, -0.7815071372086986, 0.12438278134354008, -0.05004342592078559, -0.9885672807908334, 0.1205488857387329]; [NaN, NaN]
DoubleSumOfTwo; [-0.9486458965229452, 0.08438031013101832, 0.9101082900297714, 0.6250431863773842, -0.7763229062604267, 0.6231936643045568]; [0.4346993639157337, -0.6069631589521154, -0.056517802364029146, 0.013021583219197996]; [-0.5139465326072115, -0.5225828488210971, 0.8535904876657423, 0.6380647695965822]
DoubleProductOfTwo; [0.514982915546486, -0.9920196776961638, -0.025811423622182028, -0.20358572786412776, 0.7019390474155678, -0.4910456688707445, 0.0011110514409973238]; [-0.4952007611985576]; [-0.25501993178287236]
DoubleSumSqrtsOfTwo; [-0.7401025774092829, -0.6640247316313117, 0.2466407375213917, 0.48965226027687025, -0.38749342828203237, -0.7871814020167414, 0.5686734294971856, -0.39105908657898625]; [-0.9106359931266959, -0.7083614100025195, -0.7520870274311067, 0.7659714918833052, 0.32834905659489233, -0.2550065615296673, -0.8908694207884595, -0.5596507361018739]; [NaN, NaN, NaN, 1.5749495433654372, NaN, NaN, NaN, NaN]
DoubleSumOfTwo; [0.6594031158209126, -0.08528930525654088, -0.37658636659722156, 0.5558391719648412, 0.3287044457799413, -0.886641541899903, -0.7971093594815148]; [-0.7025067092439483, 0.5178891165161219, -0.7770867417350726, -0.9736275981049951, -0.1795117078164099, 0.771172016157218, -0.6534539097298369, 0.4238024712865682, 0.18569528681546732]; [-0.04310359342303571, 0.432599811259581, -1.1536731083322942, -0.4177884261401539, 0.14919273796353139, -0.11546952574268499, -1.4505632692113517]
DoubleProductOfTwo; [0.6639240828079842, -0.0567254377991806, 0.09936335056493939, -0.6879180959198645, 0.3294677723644084, 0.11155805731619539, -0.7124630543210466, -0.7463746500483943, 0.8065523344229357]; [0.9867406475488072]; [0.6551208793931982]
DoubleProductOfTwo; [0.3133727332417844, -0.3115083448147815, 0.07817666301067128]; [0.5785745069061687, 0.9676685948535, -0.8491829246105931, 0.14312866637974953, 0.7988852078797855, -0.3902770963723283]; [0.18130947461320376, -0.3014368423120592, -0.0663862873316986]
DoubleSumSqrtsOfTwo; [-0.7594969998764818, 0.49481433702089994, -0.08423221673751913, -0.025229890789030263, -0.1859842742186948, -0.022347947827781045, -0.7804692332570256]; [0.2901648101894374, 0.9892598638944048, 0.14951122567313835, -0.7030660077609421, 0.4938316030016914, -0.30982790788850356, 0.9993777739244258]; [NaN, 1.6980458418430504, NaN, NaN, NaN, NaN, NaN]
DoubleSumSqrtsOfTwo; [0.9840933036362678, 0.10045280475753326, 0.4117607969070709, 0.1526308492768469, 0.8047539770104046, -0.4246821093438853, -0.09610568775320183, -0.45797965587243095, 0.4994628877972218]; [-0.047287619582741414, -0.44778040732998337, 0.9306354171808635, -0.887503121699101, 0.8751760183762989]; [NaN, NaN, 1.606380370369864, NaN, 1.8325892362594909]
DoubleSumSqrtsOfTwo; [-0.6228296613626978, -0.35614014076118017]; [0.027233452764794386, 0.2319152466230252, -0.22289742837493653, 0.40051105219242755, 0.3269786856728283, -0.8608947874310076]; [NaN, NaN]
DoubleProductOfTwo; [-0.5908267525188688, 0.2290641050476967, -0.09290681681753754, 0.1317727594521898, -0.06834472149154425, -0.8869351412700703]; [0.8755881044352731, 0.12640221881425218, 0.7239620957576571]; [-0.5173208762876446, 0.028954211128729805, -0.06726101381339722]
DoubleSumSqrtsOfTwo; [-0.7694611098223438]; [-0.04681136810833708, 0.9653610569467206, -0.8442695161951597, 0.4354068363430026, -0.17980792981346472, -0.8313057623462576]; [NaN]
DoubleSumOfTwo; [0.49389089097252326, 0.974619359762064, -0.3437247244174324, 0.8957900052440035]; [0.11673114564751641, 0.3429285449982331, 0.48073414452304775, 0.05887223717756407, -0.653462022312524, -0.35208545785517686, -0.6755335501405997]; [0.6106220366200397, 1.3175479047602972, 0.13700942010561534, 0.9546622424215676]
DoubleProductOfTwo; [-0.967771216095592, 0.9174794925738468, -0.10890840173007987, -0.2486628446480188, 0.4655366847809832, 0.8629683609748628, 0.166617686929734, 0.7953932676791815, -0.663399768961918]; [0.43682571957644956, -0.06266182604378567, -0.008276163118865698, 0.5682687909942941, 0.5751416732011596, 0.26859493035091986, 0.8525886392128408, -0.7137432978672082, 0.360808337027571]; [-0.42274735785633266, -0.05749094036240313, 9.013436977330962E-4, -0.1413073340933316, 0.2677495478214555, 0.23178892681109076, 0.14205634696821304, -0.5677066139747141, -0.23936016742362443]
DoubleSumSqrtsOfTwo; [0.18343600731246212]; [0.8767669966360883, 0.10903899483279877, -0.029721919238040462, 0.14856498039884558, 0.9789068795004903]; [1.3646526696520271]
DoubleSumSqrtsOfTwo; [0.7379499655166231, -0.3378213036582167, -0.8914294816419173, -0.9130180039972606]; [-0.4449337544938605]; [NaN]
DoubleSumSqrtsOfTwo; [-0.4900052671353379, 0.4566818063313003, -0.42020748631187455, 0.9384071582004654, -0.21389744848172776, -0.13650347645236005]; [0.22277451705782547, -0.43156056259506737, -0.8279747871059331, -0.019166662071744556, -0.6907903976952308, 0.1268264128188623, -0.7001494901243961]; [NaN, NaN, NaN, NaN, NaN, NaN]
DoubleSumOfTwo; [-0.30393807005729956, -0.17474468559920897, -0.522185551104188, -0.47766553965333935, 0.8329684720443535, 0.6310452410708067, 0.6746031512340251, -0.7357095751646667]; [0.9784161154948752, 0.8864349694530913, -0.05250154523278172, 0.8254416685722845, -0.5402352191296702]; [0.6744780454375756, 0.7116902838538823, -0.5746870963369697, 0.34777612891894516, 0.29273325291468333]
DoubleProductOfTwo; [-0.7512010697744376, -0.7923991507633095, -0.9150057751827281, 0.40621540847780135, -0.26838892390481894, -0.4607651414510896]; [0.20076390943103206, 0.29794983040473433, -0.4636295305129372, -0.34372209134145026, -0.8992290056935985, -0.5598621518621816]; [-0.15081406353668958, -0.23609519258278355, 0.42422369796459436, -0.13962520973711137, 0.24134310518210522, 0.2579649635958895]
DoubleSumOfTwo; [0.656760413171287, -0.6379993215396869]; [-0.6672077102505074, -0.6054120775980336, 0.602759370033062]; [-0.01044729707922043, -1.2434113991377205]
DoubleSumSqrtsOfTwo; [-0.32101613981535704, 0.6674400081483072, -0.43997960043968454, 0.20374816020318232, 0.5051292414723525, -0.2570856407403368, -0.1873546081845916]; [0.12348750084311799]; [NaN]
DoubleProductOfTwo; [-0.59626345191839]; [0.9946548943831834, 0.4019304918971196, 0.4561673227906733, -0.5499297274423631, -0.8693062446592192, -0.8578531756553658, -0.4284420839126897]; [-0.5930763607924386]
DoubleProductOfTwo; [-0.06620631595703985, 0.4935923137509026, -0.6515152599724836, -0.761379590861152, -0.8438991852410804, 0.7924207297415928]; [-0.06276576167928605, 0.9807628176977727, -0.4376695339292598, 0.8933175381712559, -0.35727284906805146, -0.3977439377461913, 0.015298068772904294, 0.6247458390043399]; [0.004155489849023076, 0.48409698842829835, 0.2851483801799574, -0.6801537417219224, 0.30150226623728815, -0.3151805413991316]
DoubleSumSqrtsOfTwo; [0.39944259391638925, -0.12584820323187906, 0.14153654528663218, 0.8836390199308357, 0.5958794513335641, -0.5206270872356475]; [-0.627911920582354, 0.7212087599367525, -0.8724969370324709]; [NaN, NaN, NaN]
DoubleSumOfTwo; [-0.5095254552866701, 0.5514441110976653, 0.5422648554213045, -0.04072396839824388, 0.8899034314171235, 0.8026817004073137, -0.930524579175827]; [0.25398743729380757, -0.058590986077631246, 0.7137999752782263, 0.30407357788723144, -0.969204200253841, 0.582590269720126, 0.8497108856340645, -0.6429045455684159, -0.21089389281719173]; [-0.2555380179928626, 0.4928531250200341, 1.2560648306995308, 0.26334960948898756, -0.07930076883671755, 1.3852719701274396, -0.08081369354176249]
DoubleSumOfTwo; [0.4323887867024727, 0.09629430456205523, 0.7303115422783117, -0.4338961571734057, 0.4936672866368317, -0.5926221142297998]; [-0.6064072388436972, 0.49197112528034914, -0.8201588462119991, -0.8475419074556243, -0.16447041001611584, 0.0650148468807239]; [-0.17401845214122447, 0.5882654298424044, -0.08984730393368734, -1.28143806462903, 0.32919687662071584, -0.5276072673490759]
DoubleSumSqrtsOfTwo; [0.9058579435208653, 0.4524291615939784, -0.8432984688921661, -0.9103617074314854, 0.15764896085818392, 0.6425420651913243, -0.7699283113217579, -0.4967084249737437, -0.30949612385888714]; [0.31626750182308694, -0.029439739844105972, 0.16423976677302532, 0.30564881212147865, 0.280689870716051, 0.835927534700077]; [1.5141423525699707, NaN, NaN, NaN, 0.9268520530868072, 1.7158779438782334]
DoubleSumSqrtsOfTwo; [-0.9198102859104678, -0.4843645233789533, -0.8064859772513036, 0.823676451449812]; [-0.47147989829868897, -0.667022547385548, 0.6537170411246016, 0.4337621261189297]; [NaN, NaN, NaN, 1.5661724238530041]
DoubleSumSqrtsOfTwo; [-0.9479369400304121, -0.5972023333288567, 0.08233298611113748, 0.3344739563050323, 0.4100877989982039, 0.7490796782321347, 0.8568097235803602, 0.7989344578247675]; [0.22234015837443, -0.48455723055600664, -0.14816830634459155, -0.6277638026971148, 0.2646956235473241]; [NaN, NaN, NaN, NaN, 1.1548667651363962]
DoubleProductOfTwo; [-0.744810300554106, 0.7914540877448801, -0.315681966130825, 0.15818578999332922, 0.5617035570828504]; [-0.3681517691052205, -0.15874272779716092, 0.5388615106853354, 0.12909869677815733, -0.4290896374596034, 0.40773575072562585, 0.704159623735926]; [0.27420322979678513, -0.1256375808148358, -0.17010886116537324, 0.020421579336962082, -0.24102117566844988]
DoubleProductOfTwo; [-0.305641544200975]; [0.2204393930265114, -0.36398672745743443, 0.2021426459048894, 0.736020926123711, -0.02145727858376345, -0.698178734447956, -0.1368158394967427]; [-0.06737543648734858]
DoubleProductOfTwo; [-0.7091982677708697, 0.7043811333942767]; [0.2751673205423084, 0.36937578200981425, 0.7983711268880671, -0.575681432766938]; [-0.19514818707575676, 0.2601813319804702]
DoubleProductOfTwo; [0.7841198650591124, -0.3848650085239349, -0.5041689845633845, 0.9879943293772986, 0.2222192425785796, -0.1668045643747884, 0.5572652781082374]; [0.34478898719013107]; [0.2703558941093936]
DoubleSumOfTwo; [-0.6947590062289783, -0.2566344917133352, -0.08993515580185774, -0.574391629986428]; [-0.5993860658133636, -0.17285683786353156, 0.4585578578577585, -0.5081368012473861]; [-1.294145072042342, -0.42949132957686675, 0.36862270205590075, -1.0825284312338141]
DoubleSumOfTwo; [-0.06712491524690956, 0.23947865692605785, 0.30680231081717735, -0.7470253699197222]; [0.911119916002044, 0.8396800426981668, 0.49622742758389116, 0.0556896659749766, -0.1705130142966007, -0.6433415759044732, 0.7601379232390335, 0.012943005491012904, 0.4592908988044062]; [0.8439950007551345, 1.0791586996242246, 0.8030297384010685, -0.6913357039447456]
DoubleSumSqrtsOfTwo; [0.7994150906485784, -0.15407652683858042, -0.933044261398001, -0.6185010039881027, 0.8818731561160837]; [0.06714359279695459, 0.6707132618085618, 0.5008229448583317, 0.4518619344881474, -0.07851312434606239]; [1.1532209642855358, NaN, NaN, NaN, NaN]
DoubleSumOfTwo; [-0.9760808063019901, 0.2377752861434841, 0.6972636524247453, -0.15306935415393585, -0.3860256441683314, 0.6126196711856866]; [0.24803623143790388, 0.48725651143337134, -0.8105166615291877]; [-0.7280445748640862, 0.7250317975768554, -0.11325300910444236]
DoubleProductOfTwo; [0.015220700047364755, -0.7989717321185399, 0.19940410934147645, -0.7667560858117886, 0.09737785844678948, -0.4347935481417242, 0.9589744589567553, 0.5036288305234666, -0.07069352809160034]; [0.658117444375018, -0.6934780250977055, -0.7222796118566932, -0.6704940144296019, -0.41988931774065974, -0.4738976136431805]; [0.010017008216770406, 0.554069338898458, -0.14402552269779123, 0.5141053660642744, -0.040887922546268975, 0.2060476248918144]
DoubleSumSqrtsOfTwo; [0.5565143659387184, 0.1073349191695947, -0.9489493340890147]; [-0.14112808506478336, -0.3180398569394476, 0.8501886945600801]; [NaN, NaN, NaN]
DoubleSumSqrtsOfTwo; [-0.3850486131715978, -0.771638447558084]; [-0.43244130892533117, -0.1577437459109401, 0.5011675275131053, -0.30962236618117234, 0.05869276168415438, -0.28059147157491826, -0.7235187032534167, 0.6193088909537172]; [NaN, NaN]
DoubleProductOfTwo; [0.8158166696217555, 0.5448492926385189]; [0.8306261356386151, 0.503947789658296, -0.44691391047674767, -0.8672609059473024, -0.7915076774831731, -0.8502381956066891, -0.5330381839038392]; [0.6776386476774835, 0.27457559672206766]
DoubleSumOfTwo; [-0.34792096090607183, -0.6645387394041764]; [-0.9291202558826392, -0.7462258326042643, -0.18927964777967587]; [-1.277041216788711, -1.4107645720084407]
DoubleProductOfTwo; [-0.22197920731454546, -0.09611593724168466, 0.24218780380229954, 0.24944365528218215, 0.3400140430540892]; [-0.21316914768009076, -0.1440395712209488, 0.16862996304678446, -0.48441969676793484, 0.8207452397865465, 0.8743412243290467, -0.33487684791546535]; [0.04731911842594382, 0.013844498387791882, 0.04084012040556365, -0.12083541985247995, 0.2790649072972216]
DoubleSumSqrtsOfTwo; [0.603046792721625, -0.0328307625963542]; [-0.22809157214321218, 0.774462625877484, -0.37026390804247367, 0.034166543984855524]; [NaN, NaN]
DoubleProductOfTwo; [0.796598479141392, 0.7937421482479396, -0.8541454528291741]; [-0.23548256772959464]; [-0.18758505531770492]
DoubleSumOfTwo; [-0.6158673303763673, -0.8970705207421659, -0.5836677927563121]; [-0.5363351041066151, -0.9910009345689803, 0.4075594960409361, 0.5726862583342895, -0.9086994500064516, -0.36339734269632773, -0.9067088459816006, -0.11731528503769151, -0.7106914292001449]; [-1.1522024344829824, -1.8880714553111462, -0.17610829671537598]
DoubleSumSqrtsOfTwo; [-0.4318522059392085, -0.7871025384680088, -0.5462117567732996, 0.43011199289796465, -0.3407285083517466]; [0.5188356957600155, -0.5929466099014356, 0.4432960050343906, -0.354601515111306]; [NaN, NaN, NaN, NaN]
DoubleSumSqrtsOfTwo; [0.9096220818351901, -0.15861823196204772, 0.9147089131160826, 0.6212425396997314, -0.32418491612721634]; [-0.2462962489413596, 0.7510712489722753]; [NaN, NaN]
DoubleSumOfTwo; [-0.40116851640886586, 0.011488176862729294, 0.4888882515188673, -0.4355495206611013, -0.4921137622557821]; [-0.6003482727100369, -0.7361269693838213, 0.854787649973975, -0.9956621120021489, 0.6851611892720684, 0.8437136140781742, 0.054990253594587646, -0.982780482140468, 0.9162283213839579]; [-1.0015167891189027, -0.724638792521092, 1.3436759014928423, -1.4312116326632502, 0.1930474270162863]
DoubleSumOfTwo; [0.5429513603218059, 0.5519327566515073, -0.9088775444707022, -0.6342721152654425, -0.6160951140169202, -0.09196329865081254]; [0.2708605039267562, 0.5360731763623217, 0.4641918070339923, 0.6819269962659693, 0.5269379754406325]; [0.8138118642485621, 1.088005933013829, -0.4446857374367099, 0.04765488100052684, -0.08915713857628771]
DoubleProductOfTwo; [0.4065092634051346, 0.368991361041314, -0.5170067867322741, -0.4651291377965281, 0.6992533435885286, 0.8092608215175292]; [0.19350841629072701, -0.0016361625776062372]; [0.07866296376903759, -6.0372985639579E-4]
DoubleSumSqrtsOfTwo; [0.5209873421908762, -0.42467723159294835, 0.6532905145408696, 0.6457983480189451, -0.6212115600530221, 0.36594224602955916, 0.5257158482299853, -0.4685592691041871, 0.27465899478522293]; [0.08621709161530089, -0.44977577407654423, -0.6627679620025326, 0.3503975115781435, -0.19669297801527286, -0.06471630630193204, 0.9979745194772207, -0.6153711184053032]; [1.015421999878621, NaN, NaN, 1.3955596378473032, NaN, NaN, 1.724049397641873, NaN]
DoubleProductOfTwo; [-0.29276956701864987, 0.25710924539592606]; [0.16218289367825367, -0.6636088036465975, -0.8553386875142799, 0.9032598116806254]; [-0.04748221556001406, -0.17061995874366995]
DoubleSumOfTwo; [0.7528214484669207, -0.9152458650157165, 0.07686132895245179, 0.836564712972828, -0.793398286195578, -0.46847795204390263, 0.1585854043281747, 0.2536598410935442, -0.1525326724943663]; [-0.6858465868864101, 0.043002436088974916, -0.42625917476195085, 0.28934767249242377, 0.5186054448511359, 0.4883758509464833, 0.1169700485083831, -0.23478690042637207, 0.9868926152609165]; [0.06697486158051058, -0.8722434289267416, -0.34939784580949906, 1.1259123854652517, -0.27479284134444204, 0.019897898902580646, 0.2755554528365578, 0.018872940667172156, 0.8343599427665502]
DoubleSumOfTwo; [0.37545144191923496, -0.1816992296073705, 0.8439191578277441, -0.9182767235425653, 0.8402035934385064, 0.37131145401483145, 0.12327942357447474]; [0.10065988680851579, -0.6152058349512743, 0.30797001897029364, 0.1772601826040412, 0.9248232917415053, -0.9496997321840166]; [0.47611132872775075, -0.7969050645586448, 1.1518891767980377, -0.7410165409385241, 1.7650268851800117, -0.5783882781691851]
DoubleSumSqrtsOfTwo; [-0.3059226600098326, -0.7128571246063584, 0.942242400501274, -0.4820276008774693, 0.35646554065197633]; [-0.6990457841379976, 0.8035264664592576, -0.6485146686894805, 0.8568571788682788, -0.6575844248900016, 0.14761728883234482, -0.49915135454222415]; [NaN, NaN, NaN, NaN, NaN]
DoubleSumOfTwo; [-0.21138289217132633, 0.030118215206761167]; [-0.9220451876716704, -0.34065335198438484, 0.3964588611608073, -0.6304181265694322, -0.12553041330299441, -0.9019196663516138, 0.005493986500790138, -0.4546903526666932]; [-1.1334280798429968, -0.3105351367776237]
DoubleProductOfTwo; [-0.8056077623222455, 0.19838685377023313, -0.7051576060665772, -0.5330964973047536]; [0.8449490674299391, 0.060616434918224105, -0.9376514357842884, -0.8872416024297729, -0.8964091618462091, -0.711552202162341, -0.19922285529510675, 0.466806572202084]; [-0.6806975274885014, 0.012025503810194578, 0.6611920417825378, 0.4729853905183687]
DoubleProductOfTwo; [0.5164792336985713, -0.6688717222366658]; [0.14219014112596162, 0.1582363111677274, 0.12353536113917851, 0.6117262008490192, 0.026034862198796915, 0.7910620963219153]; [0.07343825512822837, -0.10583979397113479]
DoubleSumOfTwo; [0.13843018245488992, -0.9223123058232126, -0.6921990743920061, -0.6101226152726456, -0.7455220904597415, 0.7806922752222454]; [0.4489319943281749, 0.39007333084479723, 0.9524685309125673, 0.6260046189212358, 0.9150069687856583]; [0.5873621767830648, -0.5322389749784153, 0.2602694565205612, 0.01588200364859027, 0.16948487832591685]
DoubleSumOfTwo; [-0.8347397372853946, -0.5459439392670997, 0.5272243730200432, 0.9580324172558892, 0.21158191895143408, 0.29439640587388194, -0.13946322159565283, -0.42998336925864367, -0.20193413626324674]; [0.8803060639903144, -0.6667279219900888]; [0.04556632670491978, -1.2126718612571885]
DoubleSumSqrtsOfTwo; [-0.4311755613623154, 0.14410530268817978, 0.8552924300535134]; [0.16478393434894523, 0.013638642206673657, 0.9996230283234475, 0.6103841282709253, -0.17664037030196855, 0.44618344221046313, 0.8804183699142745]; [NaN, 0.4963966398101003, 1.924631711384575]
DoubleProductOfTwo; [0.8597665438109381, -0.5289206960881407]; [0.8151926972422068, 0.15065419332855612, 0.8428086408811177, 0.7392432136871652, -0.6345665443125164]; [0.7008754078478485, -0.07968412080393723]
DoubleProductOfTwo; [-0.35360857992912553, -0.5808578825208617]; [0.490190368123566]; [-0.17333551996710944]
DoubleSumOfTwo; [0.2589251026343733, -0.40146623882661125, 0.0910348238737475, -0.18296621738703922, -0.7551802011154647, 0.2404970462115048, -0.18262323943232017, -0.3089580563776255]; [-0.6942584894519106, -0.32462839881655525, 0.3761752498425186, 0.3870981820495851]; [-0.4353333868175373, -0.7260946376431665, 0.4672100737162661, 0.2041319646625459]
DoubleSumOfTwo; [0.8822052446726136, 0.3292985083818136, -0.012464612664000674, -0.8991264343575405, -0.9869303077032237]; [0.6322344257446288, -0.07332187369553012, 0.0170513036215294, 0.5288023414194631, -0.5557679383221974]; [1.5144396704172425, 0.2559766346862835, 0.004586690957528727, -0.37032409293807733, -1.542698246025421]
DoubleSumOfTwo; [-0.06337256324672613, -0.503855600043799, 0.2956647224952893, -0.8151828641956289]; [-0.607223482989069, 0.018151309555602957, 0.4327546126375801, -0.37500446905164586, 0.3766203013234344, 0.054497031375559724, 0.4101688013003306, -0.13412289803898592, 0.08351988783855235]; [-0.6705960462357952, -0.4857042904881961, 0.7284193351328694, -1.1901873332472748]
DoubleProductOfTwo; [-0.8645891851772605, 0.9853785821464649, -0.8451436445695497, -0.6805570957492206, 0.038094106472172706, -0.9537610666298697]; [-0.12025662864122788, -0.7657980944400127, -0.7582635563673419, -0.39712049562051344, 0.33319036710277783]; [0.10397258056908362, -0.7546010405097643, 0.6408416255725635, 0.2702631711619877, 0.012692589319915529]
DoubleSumSqrtsOfTwo; [-0.10620954875537203, 0.5786389248011483, -0.5929459793043004, 0.654213930544403, -0.1880043165692662, -0.6435909347142825]; [-0.02364664090923796, 0.7305650773890826]; [NaN, 1.6154141931732822]
DoubleSumSqrtsOfTwo; [-0.8584566423346869, -0.8656066248570344, 0.16201454323195952, -0.2148472984214933, 0.8676097611417883, 0.8082173794647469, -0.17711268045984419, -0.1283208914740026]; [0.051613478373683686, -0.31049448195748575, 0.6544470848356245, -0.4309003749249867]; [NaN, NaN, 1.2114893405834708, NaN]
DoubleSumSqrtsOfTwo; [0.9407771902663498, 0.8635574688955763]; [-0.22942849326845582, -0.2085292157325187, -0.41097095343783496, 0.265959004165617, 0.24712641650214695, 0.8192057905838377, -0.4726101346391891, 0.6398104679184069, 0.510234283485935]; [NaN, NaN]
DoubleSumOfTwo; [0.40970788876963016, -0.022928267948384873, -0.18154281890495616, -0.8115728589111368, -0.8401937323643165, 0.11609108279589164, -0.375688900990804, -0.1532864418021238, -0.8306282277592341]; [0.9902776574656946, -0.917445668593909, 0.8819178350340608, -0.5050569103977038, 0.8021385419839535, -0.3807801930615138, -0.21752297739100013, 0.8841473204622441, -0.4838845301573935]; [1.3999855462353248, -0.9403739365422938, 0.7003750161291047, -1.3166297693088407, -0.03805519038036298, -0.26468911026562214, -0.5932118783818041, 0.7308608786601203, -1.3145127579166276]
DoubleSumSqrtsOfTwo; [0.4463464327077451, -0.0577896083863092]; [0.8461509989876626]; [1.5879562983716737]
DoubleProductOfTwo; [0.9863503091423504, -0.56738984517792, 0.26640330170881676]; [0.24033254791017877, -0.8568465299913035]; [0.2370520829281736, 0.4861660199930037]
DoubleProductOfTwo; [0.4160339867976284]; [0.919876204844414, 0.2548183317976538, -0.8330536692121113, 0.1360852101287955, 0.7405367761838311, -0.10152092173622185]; [0.38269976486169344]
DoubleSumSqrtsOfTwo; [-0.9664714454529404]; [0.7456692639132634, -0.9217573712683951, 0.9444356943070888, -0.6679020276012335, -0.7907659366409396, -0.8823714825389077, -0.35992304089389204, -0.16247050577370925]; [NaN]
DoubleProductOfTwo; [0.8014009711638519, -0.895118276499961, 0.4380447055635879, -0.03900205407835067, 0.3912423117677073, 0.32227599145912245]; [0.504595506736651, 0.9081067523795552, 0.23052810997981688, 0.14060375493039823, 0.8261995632553221]; [0.4043833291436681, -0.8128629510679642, 0.10098161806023928, -0.005483835253414556, 0.3232442271094823]
