Predicate; Input array; Output array
DivisibleByTwo; [-0.6621329698251883, 0.8490679051430727, 0.5708960874748341, -0.630860627827772, -0.524045890508384, 0.33785887511268253, -0.3484298171887863, 0.18443455572380896, -0.37010496543672744]; []
IsNotNaN; [NaN, -0.026063773804342105, 0.44706972150730406, NaN, NaN, 0.40493392908643866, 0.10602135861606254, -0.5749716990314151]; [-0.026063773804342105, 0.44706972150730406, 0.40493392908643866, 0.10602135861606254, -0.5749716990314151]
IsNotNaN; [NaN, NaN, -0.5305041354956661, NaN, 0.7761961945594498, -0.025241969476486048]; [-0.5305041354956661, 0.7761961945594498, -0.025241969476486048]
DivisibleByTwo; [-0.5538261652153453, 0.7662115119592812]; []
IsNotNaN; [-0.37110765677845525, 0.5210847600041384, 0.6115367193136336]; [-0.37110765677845525, 0.5210847600041384, 0.6115367193136336]
IsPositive; [0.04669619091321242, 0.35169991217534413, 0.1429780645698555, 0.7963593356641925, -0.5790546889431263, 0.44140001444396315]; [0.04669619091321242, 0.35169991217534413, 0.1429780645698555, 0.7963593356641925, 0.44140001444396315]
DivisibleByTwo; [-0.8852446446220124, -0.752034617826776, 0.7788516524469662, -0.2546636940265803, 0.018131772425266535]; []
DivisibleByTwo; [0.5808602092958344, -0.45421462828578596, -0.25204824979074636]; []
IsPositive; [-0.7616971515272002, -0.28812949561324186, -0.29569904687770276, 0.2946216860147257, 0.8536368481448877]; [0.2946216860147257, 0.8536368481448877]
IsPositive; [-0.23406473565258246, -0.39757114488559697, 0.5641228776181484, -0.8590375101412719, 0.5422091550325212, 0.9941697746098941, -0.13915519881365923]; [0.5641228776181484, 0.5422091550325212, 0.9941697746098941]
DivisibleByTwo; [0.6938266475187072, -0.4538454605733797, 0.43944982744674355]; []
IsPositive; [0.37011503833708614, 0.23898873776776797, 0.8218137375064674, 0.18493530552868487, 0.4047750938095174, -0.36319195462125853, 0.8594693534689677, 0.9537469134991716]; [0.37011503833708614, 0.23898873776776797, 0.8218137375064674, 0.18493530552868487, 0.4047750938095174, 0.8594693534689677, 0.9537469134991716]
DivisibleByTwo; [0.8684106135489551]; []
IsPositive; [-0.7359280671425485, -0.2925843453378729, -0.3087467548492897, -0.32959657014637567, -0.9967976902268436, -0.9174201113460356, -0.7542349596542801, 0.6502402976135058]; [0.6502402976135058]
IsNotNaN; [0.39966961149739433, -0.2467522010879708, 0.20709043038129304, -0.7967226021156675, NaN, -0.24183648157245607]; [0.39966961149739433, -0.2467522010879708, 0.20709043038129304, -0.7967226021156675, -0.24183648157245607]
IsNotNaN; [-0.31744543713038587, 0.24742666234923294, 0.4443159001935557]; [-0.31744543713038587, 0.24742666234923294, 0.4443159001935557]
IsPositive; [-0.8702108568012428, -0.3407745721939115, -0.5700060670238263, -0.4325787478113752]; []
DivisibleByTwo; [-0.2944742106425877, 0.7827293119761671, -0.45383349830553876, 0.5409704742623769, 0.33921271943873976]; []
DivisibleByTwo; [-0.12281981489476923, -0.9745884773693099, 0.0013553129205796655, 0.3662368074634734, -0.6626130682581188, 0.03931365127002673, 0.5114702402475919, -0.47089894989155945, -0.35635561672842475]; []
IsNotNaN; [NaN, 0.6345900876723807, 0.7363153996859162, 0.6810532400690146, NaN]; [0.6345900876723807, 0.7363153996859162, 0.6810532400690146]
DivisibleByTwo; [0.33514616396503616, -0.9940102019645958]; []
DivisibleByTwo; [-0.7105441925493237, 0.7929037955969793]; []
IsPositive; [0.3717455128474909, -0.2634762733726579]; [0.3717455128474909]
IsNotNaN; [NaN, 0.3092368437073547, -0.1893326543142011, 0.050303744767305814, 0.4971987503685287, -0.07975966221516684]; [0.3092368437073547, -0.1893326543142011, 0.050303744767305814, 0.4971987503685287, -0.07975966221516684]
IsPositive; [-0.4365368944168089, 0.37233467252803076, 0.2789960177306978, 0.14581807876458996, -0.05982450550005636, -0.36575352647092685, -0.5225170832014772, -0.29973566788148265]; [0.37233467252803076, 0.2789960177306978, 0.14581807876458996]
DivisibleByTwo; [0.6100836216941423, 0.5351346439072382, 0.23955909275869125, 0.2954900864627561, 0.07477159044676074, -0.8557932504458634]; []
IsNotNaN; [0.18196596062073245, -0.513107871768909, 0.7837084764722699, -0.20377576305992573, -0.38123566199137415, NaN, NaN]; [0.18196596062073245, -0.513107871768909, 0.7837084764722699, -0.20377576305992573, -0.38123566199137415]
IsNotNaN; [-0.2907559682176788, 0.7171810649425396, 0.8151897505633128, -0.9422922884185543, 0.045179211287763144, NaN, 0.0196643595657382, -0.4766825738993583, NaN]; [-0.2907559682176788, 0.7171810649425396, 0.8151897505633128, -0.9422922884185543, 0.045179211287763144, 0.0196643595657382, -0.4766825738993583]
IsNotNaN; [0.6232331885720364, -0.8736267567116927, -0.767263386717391, 0.3241340963403778, -0.4555261110886468, 0.34342614406703054]; [0.6232331885720364, -0.8736267567116927, -0.767263386717391, 0.3241340963403778, -0.4555261110886468, 0.34342614406703054]
DivisibleByTwo; [0.5338329924538454, 0.7601074776908134, -0.8185742977624084, -0.40697129006814436, 0.14832348210574642, 0.7095517765606869]; []
DivisibleByTwo; [0.22930153309148626, 0.06087861573373754, -0.8119902647503578, 0.1901328002475111, -0.585119632707231]; []
IsNotNaN; [NaN, NaN, 0.5930401152895051, -0.09832669522699344, 0.22862823073553873, -0.8542382623576865, 0.08815815316644837]; [0.5930401152895051, -0.09832669522699344, 0.22862823073553873, -0.8542382623576865, 0.08815815316644837]
IsPositive; [0.9462128124336611, 0.3053095396540353]; [0.9462128124336611, 0.3053095396540353]
IsNotNaN; [0.4346766739269532, -0.7872203359442418, NaN, 0.4940732521963005, -0.5352130960943229, 0.5460222608411358]; [0.4346766739269532, -0.7872203359442418, 0.4940732521963005, -0.5352130960943229, 0.5460222608411358]
IsPositive; [-0.623673732547275, -0.5857350596648925]; []
DivisibleByTwo; [-0.9375955930002584, 0.787123650862108, 0.8384304398515146, -0.9756772251393118, -0.8307286915266672, 0.7843086391700766, 0.3483859628759316]; []
DivisibleByTwo; [-0.6176693082599163, 0.5917878548818902]; []
IsPositive; [-0.8980661972489727, -0.08823783409690167, -0.007633829819997828, -0.10755358086982114, -0.43286521206309203, 0.9610367011875687]; [0.9610367011875687]
IsNotNaN; [-0.21568936888278656, NaN]; [-0.21568936888278656]
IsNotNaN; [0.9032135090465538, 0.20798148570128316, -0.4029431408379398, -0.8679386519803827, -0.9644795366655583, -0.30507406601629583, 0.6698134937449038]; [0.9032135090465538, 0.20798148570128316, -0.4029431408379398, -0.8679386519803827, -0.9644795366655583, -0.30507406601629583, 0.6698134937449038]
DivisibleByTwo; [0.396749861744937, -0.053398134324544655, 0.6369992125257347, 0.09347113893204018]; []
DivisibleByTwo; [-0.8421674103953294, -0.9391025577266245, 0.5165952232876849, -0.5662385666460874, 0.32952335750506934]; []
IsNotNaN; [0.055290092061871965, 0.07294226176806307, -0.18979383593579646, -0.8900664666421239, -0.2796761169795592, -0.6761975637301705, NaN, -0.3149123556837894]; [0.055290092061871965, 0.07294226176806307, -0.18979383593579646, -0.8900664666421239, -0.2796761169795592, -0.6761975637301705, -0.3149123556837894]
IsPositive; [0.037923756691037314, -0.4370354080775598, -0.36982131220008085, 0.3275872086959817, -0.005035513187297669, -0.6036633573661347, -0.7581035550743798]; [0.037923756691037314, 0.3275872086959817]
IsNotNaN; [NaN, NaN, -0.6889177694510282, 0.911487129392305, NaN, -0.706599436629427, -0.9836108483029666, -0.725481405892336]; [-0.6889177694510282, 0.911487129392305, -0.706599436629427, -0.9836108483029666, -0.725481405892336]
DivisibleByTwo; [0.28368061614542306, -0.37330988479330895, 0.8510955279388186, 0.32489977968697104]; []
IsNotNaN; [NaN, 0.9013312198574222, 0.9225425541182803, 0.3315730386071474]; [0.9013312198574222, 0.9225425541182803, 0.3315730386071474]
IsPositive; [0.4545601181650676, 0.6095478324951371]; [0.4545601181650676, 0.6095478324951371]
DivisibleByTwo; [-0.6773392246183239, -0.41546845273360056, 0.20139332849834868, 0.9592286884235761, -0.23855961426240135, -0.5329513315422805]; []
IsNotNaN; [-0.07975256261439556, NaN, NaN]; [-0.07975256261439556]
DivisibleByTwo; [0.5482715655291299, 0.5221970017677728, -0.9304896023094262, 0.2011999192308651, 0.4000986792951915, 0.30880736511412077, 0.11286316517542683, -0.1606736183873363, 0.6645241375370923]; []
IsNotNaN; [NaN, -0.8652098672387729, 0.8706308053513634, -0.4676008939461116, -0.8906063678919522, -0.7000028862710399, -0.09699580749797021]; [-0.8652098672387729, 0.8706308053513634, -0.4676008939461116, -0.8906063678919522, -0.7000028862710399, -0.09699580749797021]
DivisibleByTwo; [0.2418259201475399, -0.16304751939281825, -0.47122927480142307]; []
IsNotNaN; [-0.21167830306668267, NaN, 0.8549064971172315, NaN]; [-0.21167830306668267, 0.8549064971172315]
DivisibleByTwo; [-0.16542224743087353, -0.4820983396498464, -0.4626297531706909, 0.20134084107670946, -0.5543424672748671]; []
IsPositive; [0.2353858393627155, 0.01522110130531562]; [0.2353858393627155, 0.01522110130531562]
DivisibleByTwo; [0.37412967223577587, -0.4613396490653885]; []
DivisibleByTwo; [0.0047204465526120565, 0.6853156333163763, 0.8194384426569727, 0.20783013576831522, -0.9811559192316142, 0.8900497815708432, -0.8839095589899855, 0.5357880375261928, -0.9138841840846739]; []
IsNotNaN; [NaN, 0.5452431788681784, -0.8030955393369414, NaN, 0.2905007385763705]; [0.5452431788681784, -0.8030955393369414, 0.2905007385763705]
IsPositive; [-0.8254756511435362, 0.5542870873948931, -0.6554682152132452, -0.5611396588443729, 0.5532608314872902, 0.32100271230279387, 0.6106480517108848, -0.7016045372555475]; [0.5542870873948931, 0.5532608314872902, 0.32100271230279387, 0.6106480517108848]
IsPositive; [0.6494781074404081, -0.462209005522229]; [0.6494781074404081]
IsPositive; [0.5934573535784609, 0.6257456572783144, 0.8878610142167367, -0.386330450412796]; [0.5934573535784609, 0.6257456572783144, 0.8878610142167367]
IsPositive; [-0.978115751557386, 0.8924072693253136, -0.8111161364774933, 0.4824691987629339, -0.9078882531535795]; [0.8924072693253136, 0.4824691987629339]
IsNotNaN; [-0.002726511149709454, -0.23716742224179987, NaN, NaN, 0.7300839865449906, 0.07845847896797076, NaN, 0.9189436402723179, NaN]; [-0.002726511149709454, -0.23716742224179987, 0.7300839865449906, 0.07845847896797076, 0.9189436402723179]
IsNotNaN; [-0.09548287168252645, NaN, 0.9227136107522753, NaN, 0.6134628741339305]; [-0.09548287168252645, 0.9227136107522753, 0.6134628741339305]
IsPositive; [0.14656155231824775, 0.9805056965381842, -0.3939572319509046, -0.9599153194934353]; [0.14656155231824775, 0.9805056965381842]
IsNotNaN; [-0.06216223215402983, -0.31433068134074715, 0.7568165307512031, NaN, -0.9467300723163434, NaN]; [-0.06216223215402983, -0.31433068134074715, 0.7568165307512031, -0.9467300723163434]
IsNotNaN; [-0.9454218597759918, 0.13251332729259424, 0.7778156790286317, -0.8518171770145102, 0.15716525120976677, -0.6353964165179598, NaN, -0.6120666320160562]; [-0.9454218597759918, 0.13251332729259424, 0.7778156790286317, -0.8518171770145102, 0.15716525120976677, -0.6353964165179598, -0.6120666320160562]
DivisibleByTwo; [-0.09929275553687078]; []
IsPositive; [-0.5361645272552871, 0.09771802007889385]; [0.09771802007889385]
IsPositive; [-0.5264838488574615, -0.49600384635758843]; []
IsPositive; [0.04211156697735241, -0.9621299872351918, 0.6938130464254637, -0.1307127498788765]; [0.04211156697735241, 0.6938130464254637]
DivisibleByTwo; [-0.8317869980330987, 0.85228097649342, 0.9078982124177715, -0.7301262805513185, 0.6293338574644389, -0.5137342958817743, 0.24483261451356975, 0.1776703459588238, -0.6835954848868377]; []
IsNotNaN; [NaN, 0.9523025752920384, 0.7594313971088835, 0.5201300997552138, 0.2036213270094931, -0.18127672050128174, 0.6581192778349814]; [0.9523025752920384, 0.7594313971088835, 0.5201300997552138, 0.2036213270094931, -0.18127672050128174, 0.6581192778349814]
IsNotNaN; [-0.8468139687025018, -0.9521755495970021, NaN, -0.9236696448793515, -0.044972130506502506, 0.9526841404869093, 0.10496517897416213, NaN, NaN]; [-0.8468139687025018, -0.9521755495970021, -0.9236696448793515, -0.044972130506502506, 0.9526841404869093, 0.10496517897416213]
DivisibleByTwo; [-0.5703078848406735]; []
IsNotNaN; [NaN, -0.44139752164573576, 0.20975447138081238, 0.24114515038967976, 0.5050443013953378]; [-0.44139752164573576, 0.20975447138081238, 0.24114515038967976, 0.5050443013953378]
IsPositive; [0.8918415826753912, -0.45058356821093115]; [0.8918415826753912]
IsPositive; [-0.3935927702009725, -0.07245935627415157, -0.5285608010276444, 0.8781292561971084, 0.229424120488676]; [0.8781292561971084, 0.229424120488676]
DivisibleByTwo; [0.3805850964035322, -0.6207566418846704, -0.7220979278654429, -0.17251635174459978, 0.7349391402306755, -0.7535103023389633, 0.6008786931685415]; []
DivisibleByTwo; [-0.97714531183466, -0.27407840548611717, 0.18282915383599074, 0.20357220155176647, 0.9530791650433661, -0.744000546598272, 0.05672972359140371]; []
IsNotNaN; [0.09193676951056506, -0.23766904588045668]; [0.09193676951056506, -0.23766904588045668]
IsPositive; [-0.2583302262286129, -0.18982620563785746, -0.5346251523675107, -0.7446027004434903, 0.8491751966097127, -0.9840351778217664, 0.8137932666228385, 0.42747871118713476, 0.28586290515021084]; [0.8491751966097127, 0.8137932666228385, 0.42747871118713476, 0.28586290515021084]
DivisibleByTwo; [-0.2761534382981059, -0.29966197044603193, -0.6728565205841035, 0.4487610277895513]; []
DivisibleByTwo; [-0.20797073624175821]; []
DivisibleByTwo; [-0.8465476195439166, 0.7664135609264942, -0.3207865661361675, -0.6363926636339541]; []
IsNotNaN; [-0.8045806000510192, 0.761100438255004]; [-0.8045806000510192, 0.761100438255004]
IsNotNaN; [NaN, 0.9227444771559219, 0.45056433983552746, -0.7338517663113573, 0.8410628750415761, 0.4533920991433349]; [0.9227444771559219, 0.45056433983552746, -0.7338517663113573, 0.8410628750415761, 0.4533920991433349]
IsPositive; [0.004810139912995615, 0.7648836572644797, 0.9437303207798826, 0.62369784912565]; [0.004810139912995615, 0.7648836572644797, 0.9437303207798826, 0.62369784912565]
DivisibleByTwo; [-0.270707971674941, -0.42228784940823205, 0.23258302761932637, 0.6321515491708192]; []
IsPositive; [0.13425547408568028, -0.6250597795315713, -0.7986103768436776, -0.62309360600735, 0.48547581475970425]; [0.13425547408568028, 0.48547581475970425]
IsPositive; [0.3100452003880054, 0.5837903872313359]; [0.3100452003880054, 0.5837903872313359]
DivisibleByTwo; [0.9476044555220173, 0.3939540609853447, 0.4338532690616146, 0.013180491668391303, 0.08942554353389465]; []
IsNotNaN; [-0.6193413870682902, NaN, 0.8809366894218833, 0.25196870809050664, -0.9784007933211085, NaN, 0.22971820038971824]; [-0.6193413870682902, 0.8809366894218833, 0.25196870809050664, -0.9784007933211085, 0.22971820038971824]
DivisibleByTwo; [0.11096790414824609, -0.8054663545990597, 0.4196141812767913, -0.4091619250886984, 0.03873214692758897, -0.32287567912137627, 0.3187277945946416, -0.44053175608172634]; []
IsPositive; [-0.1004076941372829, 0.8873777514787453, 0.8934182108965023, -0.4012951901426598, -0.24047361086853059]; [0.8873777514787453, 0.8934182108965023]
DivisibleByTwo; [0.9107143565544291, 0.12380513755707345, -0.9267121777242109, -0.37547276973506616, 0.12403258024554886, 0.7753360459159577, -0.16396521699672673, -0.8398348785010497, -0.2943528130277073]; []
DivisibleByTwo; [0.25871923405104025, 0.8248117627592799]; []
IsNotNaN; [-0.5048096424810025, 0.11099589770371043, -0.7362534128044496, -0.9248667956079606]; [-0.5048096424810025, 0.11099589770371043, -0.7362534128044496, -0.9248667956079606]
IsPositive; [0.674910420763789, 0.19752593109075955]; [0.674910420763789, 0.19752593109075955]
IsPositive; [0.45637354036313127, -0.6867539477926947, 0.10546690394451064, -0.901814099731125, 0.21006458581438348]; [0.45637354036313127, 0.10546690394451064, 0.21006458581438348]
IsPositive; [-0.13317992649106758, -0.5819710876405677, -0.8285343403143439]; []
IsPositive; [-0.6634468059255698]; []
IsNotNaN; [NaN, -0.41769083913178107]; [-0.41769083913178107]
IsNotNaN; [-0.6030590425835469, -0.9121943216710913]; [-0.6030590425835469, -0.9121943216710913]
IsPositive; [-0.9021105938459466, 0.8117003907571199, 0.43879670012874916, 0.3201192685807679, 0.7116357777704865, 0.8277200105361648, -0.7341829650634781, 0.6429252653261117]; [0.8117003907571199, 0.43879670012874916, 0.3201192685807679, 0.7116357777704865, 0.8277200105361648, 0.6429252653261117]
IsPositive; [0.14488147498266035]; [0.14488147498266035]
DivisibleByTwo; [0.3893416212879022, 0.6948469440105298, 0.6190084040877959, -0.16205004854802074, 0.6431825466737375, -0.48425449526415365, -0.36050523656957156, 0.10073099503217953]; []
IsPositive; [0.8134075739705364, -0.04063413272888061, 0.9661008125235466, 0.5813292784944581]; [0.8134075739705364, 0.9661008125235466, 0.5813292784944581]
DivisibleByTwo; [-0.974401290408031, -0.8138860348306547, -0.3852231389744778, 0.050854222807549254]; []
DivisibleByTwo; [-0.3532670864380676, 0.20115250311671096]; []
DivisibleByTwo; [0.2490188267967064, -0.04563666812555334]; []
IsPositive; [-0.5762011302876342, -0.8566677138986212, -0.9422370050742792, 0.875236454831031, -0.08352440597923771, 0.24845021149599655, -0.28808126147646895]; [0.875236454831031, 0.24845021149599655]
IsPositive; [0.5700247657774433, -0.7553144772716351]; [0.5700247657774433]
IsNotNaN; [0.9534463685687327, 0.9252351401942414, -0.4469164948242379, 0.009725932943867477, -0.4133295294871697, -0.11066192024953314, -0.6549369567880925]; [0.9534463685687327, 0.9252351401942414, -0.4469164948242379, 0.009725932943867477, -0.4133295294871697, -0.11066192024953314, -0.6549369567880925]
IsNotNaN; [NaN, 0.8803625634025765, -0.0905855402092568, -0.5534012180003636, -0.060156911328115736]; [0.8803625634025765, -0.0905855402092568, -0.5534012180003636, -0.060156911328115736]
DivisibleByTwo; [0.14500810141590414, -0.06383850487324283, -0.14169432188824316, 0.16928662893442437, -0.6387553424640211, 0.37125945758830725]; []
IsNotNaN; [0.5404490806627935, -0.477418533742467, -0.3264891173014144, -0.4822333701027983, -0.40957090004300745]; [0.5404490806627935, -0.477418533742467, -0.3264891173014144, -0.4822333701027983, -0.40957090004300745]
IsPositive; [-0.7914182675359789, 0.8106465064647153, 0.3534760175296061, 0.11348129459058542, 0.5010696157429249, 0.8121655626183379, -0.0755860896737528, -0.22823805815394493]; [0.8106465064647153, 0.3534760175296061, 0.11348129459058542, 0.5010696157429249, 0.8121655626183379]
IsPositive; [-0.07355168528370526, -0.8950578231155399, -0.412698310659702, 0.8192525207153709, -0.8412954189269961, 0.4535630617561046, -0.4260587306054546, 0.06468251732281605]; [0.8192525207153709, 0.4535630617561046, 0.06468251732281605]
IsNotNaN; [NaN, NaN, NaN, -0.34806374760267045, 0.4590232647136778]; [-0.34806374760267045, 0.4590232647136778]
DivisibleByTwo; [0.5007051580471384, -0.4331722311150392, 0.8071743150719357, 0.8665354018860936, -0.9760205268401614]; []
DivisibleByTwo; [0.9870174890952617]; []
DivisibleByTwo; [-0.22583308685977777, -0.748385890971534, -0.3784844497882158, -0.5423128143996689, 0.04410045722162348]; []
IsPositive; [-0.7677364342484054, -0.874136670670915, 0.8131935413041089, -0.3166143524802907, 0.5831313598367913, 0.10161715988402342, -0.09274474048978076, -0.9272390943359514]; [0.8131935413041089, 0.5831313598367913, 0.10161715988402342]
IsNotNaN; [0.8203724129544776, 0.3828710976042957]; [0.8203724129544776, 0.3828710976042957]
DivisibleByTwo; [0.8065404177234179, 0.6932491607041622, -0.3475258447746996, 0.396938821686029]; []
IsPositive; [-0.6210675684718221, 0.7292940922893361, 0.21238665405845558, 0.6667327293539451]; [0.7292940922893361, 0.21238665405845558, 0.6667327293539451]
IsPositive; [0.009200723207531292]; [0.009200723207531292]
IsPositive; [0.20666486571227738, 0.4491933457852699, 0.48771341526163203]; [0.20666486571227738, 0.4491933457852699, 0.48771341526163203]
IsNotNaN; [NaN, -0.8575138832065365]; [-0.8575138832065365]
DivisibleByTwo; [-0.16705283879750255, 0.19133522588685548, -0.7506817239426296, 0.7570145023164665, 0.6141883936556134]; []
DivisibleByTwo; [-0.36456981381439935, 0.5591851692970078, 0.18154911345018854]; []
IsNotNaN; [NaN, 0.6029878105500408, 0.6979932181293658, NaN, 0.5617564071783563]; [0.6029878105500408, 0.6979932181293658, 0.5617564071783563]
IsNotNaN; [0.64430356308137]; [0.64430356308137]
DivisibleByTwo; [-0.11820116098121036, 0.32443245204796534, -0.626323130259133]; []
IsNotNaN; [0.5634852750359338, 0.7325119833805416]; [0.5634852750359338, 0.7325119833805416]
DivisibleByTwo; [-0.30842616206117945, -0.5979430748552046, -0.7711786778277478]; []
IsPositive; [0.7845730160222386, 0.17322824027152595]; [0.7845730160222386, 0.17322824027152595]
IsNotNaN; [0.7118525253117851, -0.3224687776389368, 0.5199138668695944, -0.048181452004597114, 0.7030533302474777, -0.4110661149418764, -0.7638042375980967, -0.656765639404586, -0.9767631655421902]; [0.7118525253117851, -0.3224687776389368, 0.5199138668695944, -0.048181452004597114, 0.7030533302474777, -0.4110661149418764, -0.7638042375980967, -0.656765639404586, -0.9767631655421902]
IsNotNaN; [-0.8839153946411218, -0.7650429238273639, 0.08583348469381336]; [-0.8839153946411218, -0.7650429238273639, 0.08583348469381336]
IsNotNaN; [NaN, -0.2055516987028032, NaN, -0.04776308869950374]; [-0.2055516987028032, -0.04776308869950374]
IsPositive; [0.10526860092813783, -0.21280885096166258]; [0.10526860092813783]
DivisibleByTwo; [-0.6734531732026927, -0.8563039132457066, -0.4914969612240727, -0.919811611339515, -0.21162801007187815, 0.4365750909656445, -0.36304859266193645, -0.5941368698432326, -0.25331236660296597]; []
IsPositive; [0.37275723006152495, 0.3293166422843077, -0.3465158494951044, -0.8824628382174067, -0.07944917182070954, -0.3446664580173133, 0.3145691172597649, -0.44397726910184, -0.020065934333627355]; [0.37275723006152495, 0.3293166422843077, 0.3145691172597649]
IsNotNaN; [0.26877349138789763, 0.11555276269642478, -0.6076314955536581, NaN, -0.01525223791095942, 0.4058968614145897, 0.8200226730336022, -0.525308736690506, NaN]; [0.26877349138789763, 0.11555276269642478, -0.6076314955536581, -0.01525223791095942, 0.4058968614145897, 0.8200226730336022, -0.525308736690506]
IsPositive; [0.09833378759339095, 0.519697414850667, 0.22680644132369987, -0.5921283647139686]; [0.09833378759339095, 0.519697414850667, 0.22680644132369987]
IsNotNaN; [NaN, 0.20988617650621366]; [0.20988617650621366]
IsPositive; [0.06927348747745676, -0.04159262767945937, 0.21834062439912172, 0.2335388807946266, -0.1597342163744555, -0.13232801986185438, 0.021049869926160758, -0.7777849354395985, 0.11275107618523528]; [0.06927348747745676, 0.21834062439912172, 0.2335388807946266, 0.021049869926160758, 0.11275107618523528]
IsNotNaN; [0.7829739911428801, -0.05090841644907651, 0.1231772826636548, -0.7270462337826213, -0.5107047050882649, -0.6537196143519035, NaN]; [0.7829739911428801, -0.05090841644907651, 0.1231772826636548, -0.7270462337826213, -0.5107047050882649, -0.6537196143519035]
IsPositive; [-0.9645581163938244, 0.4910099051268002, 0.5136821623210799, 0.33862016952828333, 0.856569583866281, 0.7109675315070589, -0.35752153386131624, -0.31033702771454275, -0.21972851973928553]; [0.4910099051268002, 0.5136821623210799, 0.33862016952828333, 0.856569583866281, 0.7109675315070589]
IsPositive; [-0.5921668634320942, 0.3990614771630301, -0.8625171046930713, -0.8650283355677353, 0.3129644927772848]; [0.3990614771630301, 0.3129644927772848]
IsPositive; [0.5781930502913042, 0.6861686303756553, 0.19763432915823964]; [0.5781930502913042, 0.6861686303756553, 0.19763432915823964]
IsPositive; [-0.7990005699410521, -0.4064244524344367]; []
IsNotNaN; [-0.06263376673309629, -0.5492495822042576, 0.633716552894336, 0.7411983020715289]; [-0.06263376673309629, -0.5492495822042576, 0.633716552894336, 0.7411983020715289]
IsNotNaN; [0.7836838146274274, 0.3803185935393718, 0.45462228647238323, -0.8506607008365856, NaN, 0.897645663880964, NaN, NaN]; [0.7836838146274274, 0.3803185935393718, 0.45462228647238323, -0.8506607008365856, 0.897645663880964]
IsPositive; [-0.4575685028086274, -0.5849432673229427, -0.44807971680317205, -0.8289994081852956, -0.32425665805472814, 0.3653709893660688, 0.9950433120187141]; [0.3653709893660688, 0.9950433120187141]
IsNotNaN; [0.5007136641523331, -0.15214933516063622, -0.4727353245057957, 0.40505450484408034]; [0.5007136641523331, -0.15214933516063622, -0.4727353245057957, 0.40505450484408034]
IsNotNaN; [0.8324579466785182]; [0.8324579466785182]
DivisibleByTwo; [0.5789196064975037, 0.9034083928069037, 0.349314811825842, 0.6284300457087939, 0.05544257680737452, 0.09553195197366904]; []
DivisibleByTwo; [-0.9286815309408747, 0.5230951438926079, -0.31931118327031394, 0.13033455879441558]; []
DivisibleByTwo; [-0.5831194712246186]; []
IsPositive; [-0.5112906406982274, 0.06689107827440544, 0.5124252591939407, -0.20525688166994582, 0.7250947970181914, 0.16088034560690878, 0.9152423443901925, -0.6474315378322639, -0.44331243291587885]; [0.06689107827440544, 0.5124252591939407, 0.7250947970181914, 0.16088034560690878, 0.9152423443901925]
IsNotNaN; [NaN, -0.6318318749116094, -0.48782057365691367, 0.7233937033228064, NaN, NaN]; [-0.6318318749116094, -0.48782057365691367, 0.7233937033228064]
DivisibleByTwo; [0.28329773364134114, 0.3678050899588805]; []
IsPositive; [0.6271487783270788, -0.06624110655830195, 0.3629209066575634, 0.7498418823530926, 0.5459677114202204, -0.8063548045133941, 0.927869727626492]; [0.6271487783270788, 0.3629209066575634, 0.7498418823530926, 0.5459677114202204, 0.927869727626492]
DivisibleByTwo; [-0.7390961841485755, 0.21441344473854596, 0.4200897975294471, 0.240928736158877, -0.3368712275792882, 0.7523752782239097]; []
DivisibleByTwo; [0.651274029116971, -0.28360739789697376]; []
IsPositive; [0.6453724819596811, 0.9786072622770492, -0.010370639184336783, -0.07127811462767286, 0.7660381845289004]; [0.6453724819596811, 0.9786072622770492, 0.7660381845289004]
DivisibleByTwo; [0.9274301358716954, -0.5123423354014656, -0.8015972722392812, -0.3560978763578302, 0.27311190683998965, -0.0027688545659714237, -0.1480050766076093, 0.8615947830082857, 0.9825447488599]; []
DivisibleByTwo; [-0.5715210506799484, 0.028744385937655714]; []
DivisibleByTwo; [0.46241439274011276, 0.19847644462241232]; []
IsNotNaN; [0.4366303865129675, -0.005974423413991348, 0.14966489938351346]; [0.4366303865129675, -0.005974423413991348, 0.14966489938351346]
IsPositive; [-0.650304496738618, 0.9399537749674445, -0.6797289996866196, 0.3387252873595459, 0.7912088918805942]; [0.9399537749674445, 0.3387252873595459, 0.7912088918805942]
DivisibleByTwo; [0.06919214401794926, -0.9910649186465941, -0.9344260131966744, -0.10340646721747149, 0.15866549551375342, 0.6524301715052296, 0.4215067531829779, 0.4563415481409847]; []
IsNotNaN; [-0.7885272663113805, -0.9271364259821768, 0.6623027615964128, 0.4801609110505194]; [-0.7885272663113805, -0.9271364259821768, 0.6623027615964128, 0.4801609110505194]
IsNotNaN; [-0.09400613448543971, -0.4752052088331429, -0.5688914953785695, 0.057833871432264816, 0.6581569511570147, -0.48787723163387176, -0.36217445372026136, 0.8023752373758519]; [-0.09400613448543971, -0.4752052088331429, -0.5688914953785695, 0.057833871432264816, 0.6581569511570147, -0.48787723163387176, -0.36217445372026136, 0.8023752373758519]
IsPositive; [-0.4862985364447334, 0.544603383905875]; [0.544603383905875]
DivisibleByTwo; [0.4538029878124046]; []
IsNotNaN; [-0.41912559340763655, 0.7169340876208532, NaN, NaN]; [-0.41912559340763655, 0.7169340876208532]
